v,re,s,ra,c_d
1.8,0.6,1.4,0.4,0.05934629779939559
1.6,0.6,4.0,0.2,0.04401394403211362
2.0,0.2,3.6,0.4,0.0838450678434632
1.4,0.6,2.6,0.2,0.034833250888920364
1.8,0.8,2.0,0.2,0.03510075557996205
1.8,0.2,1.6,0.2,0.017753980714982364
1.6,1.6,3.4,0.2,0.05748193039462685
2.4,1.0,1.4,0.4,0.06394838200091663
1.4,0.8,1.2,0.2,0.028684598482971738
2.0,0.8,1.6,0.6,0.0952576909893224
3.0,0.6,1.8,0.4,0.050690812738888494
1.4,1.6,4.0,0.2,0.059819957030815926
2.2,2.0,2.4,0.2,0.050266075633584685
1.0,1.0,1.8,0.4,0.0696172091923244
2.0,0.8,3.6,0.4,0.09462583614333686
3.0,1.0,1.2,0.2,0.01610568462921152
2.4,0.4,2.6,0.2,0.01591829543520922
1.2,1.0,2.8,0.4,0.079975834987306
1.0,0.4,3.6,0.2,0.04534084742314093
2.2,1.2,2.4,0.4,0.06897403840933178
1.8,1.2,1.6,0.4,0.06592879230406881
2.2,1.8,3.8,0.2,0.05429838516342126
1.8,1.0,2.0,0.2,0.04244218794499708
2.8,1.0,3.0,0.2,0.03552784859729628
1.6,0.8,3.0,0.2,0.045198909151063546
1.2,0.4,1.2,0.2,0.018029607162546542
1.6,2.0,1.2,0.4,0.06517175838349472
2.4,1.2,3.0,0.2,0.04252875537086461
2.6,0.4,1.6,0.4,0.04085960685849101
2.2,0.2,3.8,0.2,0.021476078830535383
1.0,1.2,2.2,0.2,0.05563530457984489
2.4,1.2,1.0,0.6,0.06742306023913967
2.0,0.4,3.2,0.4,0.08327090797766126
2.4,2.0,1.0,0.8,0.09488358718968347
3.0,1.6,4.0,0.2,0.04875366058327736
2.0,2.0,2.8,0.2,0.05183573991859308
1.2,1.8,2.8,0.2,0.05839715486676239
2.6,0.2,1.0,0.8,0.07179254640233522
1.2,1.0,3.2,0.4,0.08892743987203633
2.2,1.2,1.2,0.2,0.03069639919165492
2.2,0.6,3.0,0.2,0.025633902238942533
1.4,0.6,1.2,0.4,0.05826377672851505
2.4,0.6,3.0,0.4,0.07594579276286696
1.6,1.0,1.8,0.2,0.0437108276673816
2.2,1.4,2.0,0.4,0.0677069565370659
2.2,1.0,3.2,0.4,0.0849237824772334
2.2,1.4,1.6,0.4,0.06606202160968992
3.0,0.4,1.6,0.4,0.03628975891091083
2.4,0.4,2.8,0.2,0.01676913330121485
2.6,1.4,2.4,0.2,0.043987486246911185
1.4,1.4,1.0,0.6,0.07153837395075277
2.8,1.0,2.0,0.4,0.06401389677505827
3.0,1.0,1.0,0.2,0.013372416459072094
2.0,0.6,1.2,0.6,0.06875028386359673
2.2,0.8,1.0,0.6,0.06398781375248941
1.4,2.0,1.2,0.4,0.06751005077643064
2.4,0.8,3.2,0.4,0.08343802267519837
2.0,0.6,2.8,0.4,0.07483194495696509
2.0,1.2,3.4,0.4,0.09216434810905
3.0,1.6,3.0,0.4,0.08161890402562452
2.4,0.2,3.8,0.4,0.08213831498773295
2.8,0.4,2.2,0.4,0.051585112394927635
1.2,0.6,2.6,0.4,0.07522864851364679
1.6,1.2,1.0,0.8,0.09807600763128886
1.4,1.6,1.6,0.2,0.05374767067598198
2.6,0.4,2.0,0.2,0.011991897307458838
3.0,1.2,1.0,0.4,0.04829836075541087
1.0,0.6,3.0,0.4,0.08360731333885175
1.2,2.0,3.2,0.4,0.09104950175958858
2.4,1.4,1.2,0.6,0.07094490749101559
3.0,1.8,1.0,0.8,0.09434790721799112
2.2,1.8,1.4,0.6,0.08722213755390609
1.8,2.0,1.8,0.2,0.04974275758292655
2.6,0.6,1.4,0.6,0.07718420292015947
2.2,0.2,2.8,0.4,0.0674851509292825
1.2,1.2,4.0,0.2,0.059534769186226424
2.0,0.6,1.2,0.6,0.06875028386359673
1.4,1.8,1.8,0.4,0.07096628610841975
1.4,2.0,1.0,0.4,0.06427785725847199
2.2,1.8,1.6,0.2,0.04160337084323182
2.0,1.8,2.4,0.2,0.05223194620716569
2.4,0.6,2.6,0.4,0.06978527928304308
1.0,0.8,1.8,0.4,0.07006888661675416
2.4,1.8,2.2,0.2,0.042479639196408486
2.8,1.4,3.0,0.4,0.0820392310157089
2.0,1.8,2.8,0.4,0.08237470207232724
1.6,1.0,2.4,0.4,0.07198550243691977
1.8,1.4,1.0,0.4,0.06174791381273941
1.6,0.4,1.4,0.6,0.08568066393416443
2.4,1.4,1.2,0.2,0.02997642194151155
2.4,1.2,1.2,0.6,0.06864821794186003
2.4,1.8,1.2,0.4,0.06282095727281997
2.0,2.0,3.2,0.4,0.09037793197289942
1.4,1.0,2.2,0.4,0.07046388831225138
3.0,0.4,2.8,0.4,0.061012452928638265
2.8,1.0,1.0,0.4,0.04810193329756987
2.4,1.4,3.2,0.2,0.04737831490524639
2.8,1.6,1.4,0.6,0.08220734354505241
3.0,1.8,1.0,0.4,0.056431663106246636
2.4,0.8,4.0,0.2,0.03691944565861335
2.0,1.4,2.6,0.6,0.15963852515777865
1.4,1.2,3.0,0.6,0.180236572488314
2.2,1.2,2.2,0.6,0.13604299581998966
2.6,1.2,1.0,1.0,0.13924139986720252
2.6,1.4,2.2,0.6,0.13455081944436875
1.6,1.0,1.4,0.8,0.14853492602737986
2.6,0.6,1.4,0.8,0.1261453809797022
3.0,1.6,3.6,0.6,0.1903054483390207
2.4,0.4,3.6,0.6,0.16999049668862096
2.0,0.6,1.6,0.8,0.15559391978505474
2.6,0.8,1.2,1.0,0.16180670989275692
2.0,1.2,1.6,0.8,0.16818974581776902
1.6,0.6,4.0,0.4,0.10277156883028664
2.0,0.6,2.0,0.6,0.1193762783845738
1.0,1.2,2.4,0.6,0.15594684560681596
2.8,0.4,2.6,0.8,0.19273544305404253
1.0,1.6,1.2,0.8,0.1320589133338863
2.0,0.4,1.8,0.8,0.16398676759857989
3.0,1.0,2.6,0.6,0.14677970573351887
2.2,1.4,2.6,0.6,0.1583421087302298
2.6,1.4,2.0,0.8,0.19752144067695093
2.6,0.6,2.4,0.6,0.13175102539072875
1.8,2.0,3.4,0.6,0.19794147761729405
1.4,1.0,2.8,0.6,0.17018239654479594
1.6,1.4,1.6,0.6,0.10219745760625837
2.2,1.8,1.0,1.0,0.14972303073173382
1.4,0.2,2.0,0.8,0.1752643892439075
3.0,1.0,2.2,0.8,0.1971200832739584
3.0,0.2,2.4,0.6,0.10047848334852268
2.2,0.2,3.8,0.6,0.16290531238331926
1.2,0.6,2.4,0.6,0.1479105142981588
3.0,0.6,2.6,0.6,0.1316344823663062
2.0,1.6,2.0,0.6,0.12660009056148133
1.0,0.4,1.6,0.8,0.1653891193320732
1.8,0.2,1.6,0.8,0.13538594879438687
3.0,1.2,4.0,0.6,0.19503372720056752
1.4,0.4,1.8,0.6,0.11058399831594276
2.6,1.6,1.6,0.6,0.10036636004573396
3.0,0.8,3.2,0.6,0.16404960478806174
3.0,2.0,2.0,0.6,0.12694405710309406
2.6,0.8,2.8,0.6,0.1547627480649494
3.0,1.6,2.0,0.8,0.19215747632129415
1.0,1.0,3.0,0.6,0.18256129049525927
1.0,1.6,2.6,0.6,0.16773725572243198
1.4,1.6,1.0,0.8,0.10143797805853627
2.2,2.0,4.0,0.4,0.10768110489392482
1.6,2.0,2.4,0.6,0.1550713093414762
1.8,0.4,1.4,1.0,0.18443943904209045
2.2,1.6,1.4,0.8,0.14716159973674384
1.0,0.2,2.0,0.6,0.1220699024897676
2.4,1.0,4.0,0.4,0.10167125217274343
2.6,1.2,3.4,0.6,0.1847144961793148
2.0,1.6,1.8,0.8,0.18906675991438207
2.6,0.8,2.8,0.6,0.1547627480649494
2.4,0.2,1.0,1.0,0.10450588127794448
2.8,0.8,3.4,0.6,0.17324242684649455
1.4,0.6,3.4,0.6,0.1873751012450245
2.2,0.2,2.2,0.6,0.10897596290767536
2.4,1.6,2.6,0.6,0.15711634918422807
2.8,1.4,2.4,0.6,0.14216706715160984
2.6,1.6,3.8,0.4,0.1005117922600222
2.6,0.4,1.4,1.0,0.16674390255516047
2.2,1.0,2.2,0.6,0.1342983737505279
1.6,1.8,1.2,1.0,0.1876545949508763
2.2,1.6,2.8,0.6,0.16892392955043725
3.0,0.6,1.0,1.2,0.15435754529154425
1.0,2.0,2.6,0.6,0.16849102416373066
2.2,0.2,1.0,1.0,0.10954932049978952
2.2,0.2,1.4,0.8,0.11244188550580617
2.6,0.4,2.0,0.6,0.10593074660685207
