v,re,s,ra,a_s
1.0,1.6,3.4,2.0,0.06054811141120418
1.0,2.0,3.2,1.6,0.05185547309998633
1.0,0.8,2.2,0.8,0.0855369873012778
1.0,1.8,1.8,1.4,0.004528198064126839
1.0,1.4,1.8,1.0,0.0708358891555091
1.0,1.4,2.8,0.6,0.07351097490652962
1.0,0.4,2.2,1.0,0.09524963635638503
1.0,1.6,3.2,2.0,0.0607401836662815
1.0,1.4,3.2,1.2,0.010488304855624195
1.0,1.2,3.8,0.6,0.07646134561790556
1.0,0.8,4.0,0.6,0.08532858341341155
1.0,0.4,2.8,0.6,0.09656948166742622
1.0,1.2,4.0,1.0,0.04400186192941578
1.0,1.6,3.0,1.6,0.03350167666447443
1.0,1.4,2.0,1.4,0.011535729219692795
1.0,1.0,2.8,1.0,0.049095270359154015
1.0,0.6,4.0,1.8,0.08751094027319839
1.2,1.8,2.8,1.6,0.06957818291430183
1.0,1.2,1.4,1.6,0.07328563028228023
1.0,2.0,1.8,1.8,0.028069207488007168
1.0,1.8,2.0,1.2,0.06016460860152526
1.0,0.6,3.6,2.0,0.08789542177742278
1.0,0.4,1.2,2.0,0.09514629813749717
1.0,0.4,2.6,1.0,0.09505490990293017
1.0,0.6,1.8,1.0,0.09056820493817787
1.0,1.8,3.0,1.4,0.031272999511863714
1.0,2.0,2.2,0.4,0.07268307853160202
1.0,1.8,4.0,2.0,0.054418677913634916
1.0,1.8,1.8,1.4,0.004528198064126839
1.0,1.6,3.0,0.6,0.06897229854779115
1.0,1.8,2.4,2.0,0.056991539192735814
1.0,0.8,1.8,1.6,0.08311797608410099
1.0,0.8,3.0,1.0,0.08337417220087909
1.0,2.0,1.4,1.4,0.05798537663918912
1.0,0.4,3.4,1.4,0.09505205294841322
1.0,1.4,4.0,0.8,0.06930304056533394
1.0,1.2,3.8,1.2,0.04359989524630576
1.0,1.6,1.0,0.4,0.09287307996062827
1.0,0.6,2.6,0.6,0.09159014331022036
1.2,1.8,3.0,1.2,0.07060211105712566
1.0,2.0,3.4,0.2,0.09387586297544304
1.0,1.8,1.4,2.0,0.031740126449712414
1.0,0.8,2.4,0.6,0.08701393390482819
1.0,2.0,2.4,1.4,0.028859865230187107
1.0,1.0,2.0,0.4,0.09031789785487154
1.0,1.8,4.0,0.8,0.060884876403064024
1.0,1.4,1.4,1.8,0.06759645496878051
1.0,1.6,3.0,0.2,0.09619965606988484
1.0,2.0,1.6,1.0,0.059126972502237224
1.0,1.8,3.2,1.6,0.05635233135932685
1.0,1.0,3.0,1.4,0.04771722177237588
1.0,0.6,3.0,1.4,0.08900848690437259
1.0,1.6,2.4,0.4,0.07394447697961655
1.0,2.0,1.4,0.6,0.06420897090365715
1.0,2.0,3.4,0.2,0.09387586297544304
1.0,1.8,3.6,1.8,0.05515207535065193
1.0,1.2,2.6,0.4,0.08073219785888687
1.0,0.4,4.0,2.0,0.09365538448954576
1.0,1.6,2.6,0.8,0.06690503700500225
1.0,0.4,2.0,1.2,0.09507752735094972
1.0,1.6,2.2,1.0,0.06592134810228095
1.0,2.0,4.0,1.2,0.026374314811523192
1.0,1.6,2.8,1.8,0.06100595003154639
1.0,0.8,3.0,1.2,0.08319641601525887
1.0,1.2,3.4,1.2,0.014292851464542174
1.0,1.0,1.4,0.6,0.08398260587396056
1.0,1.6,2.4,0.4,0.07394447697961655
1.0,1.6,2.8,1.2,0.006860535210551728
1.0,1.8,1.2,0.6,0.07037514048720737
1.0,1.8,2.0,0.8,0.06396270188723224
1.0,1.2,1.6,1.2,0.07507072640879267
1.0,1.2,4.0,0.2,0.09875488033513552
1.0,0.6,1.6,0.6,0.09279534882630798
