SimulationId,cohesion_degree,average_speed,average_direction
1.0_1.0_2.0_0.6_1,"[1.11544890003,1.12241148334,1.12309291507,1.12271670302,1.12070000815,1.12029907357,1.11917731434,1.11795519141,1.11668663947,1.11533677107,1.11499065172,1.11269830995,1.11175926558,1.11001213057,1.10785754036,1.10673505913,1.10490431612,1.10341982979,1.10049407821,1.09824320261,1.09552998848,1.09341023061,1.08956127683,1.08656209305,1.08305934783,1.07866213245,1.07338396609,1.06792353383,1.06213974807,1.05495782069,1.04631191569,1.03628989246,1.02407713946,1.01326942282,1.00699965467,1.00238170373]","[0.767609588102,0.752886779856,0.754005894261,0.759895054581,0.767783075156,0.767187246658,0.765748419459,0.763693761848,0.763202228624,0.766444800512,0.76233044151,0.763790750512,0.760077940036,0.761617258198,0.762058659505,0.761204377286,0.760625712979,0.760019211163,0.762224913317,0.762066322364,0.760124163988,0.759927658663,0.75744791252,0.752193542133,0.746626209464,0.751213758489,0.761649723834,0.754349957203,0.749715071099,0.757080091105,0.747337809616,0.745315150612,0.752974926106,0.754388552495,0.715583683406,0.742549059464]","[0.767448200196,0.752838858173,0.753992192118,0.759893074962,0.767781362054,0.767185672086,0.765746788844,0.763692022337,0.76320049355,0.766442833197,0.762328289707,0.763788155774,0.760075220979,0.761614044947,0.762055008728,0.761199830701,0.760620718476,0.760013370056,0.762218014158,0.762058139752,0.760114271561,0.759915941343,0.757433995534,0.752176356512,0.746604682848,0.751187184372,0.761615082185,0.754303821036,0.749655325904,0.756997847402,0.747223406438,0.745149063464,0.752722119348,0.754182343084,0.715359360606,0.742448920269]"
1.0_1.0_2.0_0.6_2,"[1.1652706342,1.17453077474,1.17785820374,1.17945146311,1.17962602676,1.17798384869,1.1771116189,1.17612361485,1.1764965146,1.17692428708,1.17679127877,1.17690160242,1.17686162193,1.17642405484,1.17677562975,1.17672519993,1.17635163693,1.17507378699,1.17596832589,1.17519792678,1.17528027913,1.17494730406,1.17478793709,1.17415704264,1.17390035905,1.1722109552,1.17107090793]","[0.957831403956,0.95771522293,0.957790235457,0.957830215274,0.95652859477,0.959486297488,0.951750525631,0.954888114657,0.954840841152,0.952967747296,0.951135164156,0.950945426282,0.951893098129,0.953243783355,0.952856802272,0.949622337397,0.950606976202,0.949133784153,0.947777657535,0.948301402059,0.951376977662,0.946057950305,0.951451285603,0.946884755475,0.946319898532,0.943414995552,0.934216538614]","[0.957820455508,0.957694675253,0.95773770826,0.957790109137,0.956488901679,0.959414095763,0.951697629981,0.954850427572,0.954768198384,0.952954749751,0.951109838094,0.950911141989,0.95186939295,0.953189930722,0.952808432636,0.949571843459,0.950515940691,0.949088309818,0.947688241826,0.948239088743,0.951309976341,0.94594506364,0.951345169859,0.946764265929,0.9461446058,0.943243403444,0.933805193068]"
1.0_1.0_2.0_0.6_3,"[1.18799638192,1.19444192776,1.19418029428,1.19097711007,1.18824992952,1.18682962524,1.18603183698,1.18513089811,1.18391760958,1.18250963836,1.18292218739,1.18310186431,1.18238134412,1.18106124502,1.17957729697,1.17864691631,1.17702350294,1.17491503102,1.17342621218,1.17047859618,1.16840297681,1.16522237026,1.16152490135,1.15673923533,1.15057505216,1.14149499814]","[0.961085937154,0.958642831733,0.957600525874,0.957113773645,0.956892901428,0.95677139232,0.956692679956,0.956607059633,0.956473598754,0.956276521266,0.959172086781,0.961318147433,0.963347918905,0.959044593503,0.964420125006,0.964256563222,0.963668861759,0.961567752833,0.963804404194,0.963665771712,0.963363135426,0.965939032916,0.968283906907,0.969611473408,0.967978541181,0.967617684643]","[0.961040617235,0.958631134303,0.957588538612,0.957101439656,0.956882858713,0.956762191304,0.95668321669,0.956596608174,0.956461878358,0.956263485433,0.959144114024,0.96127020111,0.963277028503,0.95900432756,0.964339755013,0.964179717998,0.963597931308,0.961503587319,0.963723134148,0.963574917592,0.963254829482,0.965799656965,0.96809355406,0.969349445841,0.967561956699,0.966765609036]"
1.0_1.0_2.0_0.6_4,"[1.18986090241,1.19225332794,1.20348356139,1.20849826013,1.20710432397,1.20432125066,1.20300695575,1.202962333,1.20301705293,1.20256044702,1.20166267547,1.20058673127,1.19945993115,1.19826157937,1.19693884087,1.19965367634,1.2046035899,1.21416742563,1.21638818782,1.21602498937,1.21536065587,1.21366011848,1.21301922718,1.21303822904,1.21106618217]","[0.968803680086,0.966986527898,0.968400730609,0.970268671413,0.970829238854,0.970026031366,0.968590058979,0.967133335546,0.965871592462,0.96475601731,0.963672810944,0.962547042524,0.961353516106,0.960092882269,0.958771594805,0.950537660879,0.954506624116,0.952146171595,0.955801402506,0.955478310404,0.953706624389,0.954083833329,0.95626318458,0.948773320735,0.946121572073]","[0.968683854087,0.966931666274,0.968382737961,0.970232176204,0.97076323657,0.969955432615,0.968520679871,0.967057427879,0.96578145443,0.964649061622,0.96355032574,0.962410921754,0.961205033087,0.959933585567,0.958604349858,0.950368822033,0.954380306527,0.95205848049,0.955708909342,0.955243110747,0.953525859612,0.953839674788,0.9559719064,0.948481541754,0.945623945771]"
1.0_1.0_2.0_0.6_5,"[1.17652272839,1.17495449155,1.17271094032,1.17299644388,1.17155654556,1.17123963412,1.16993385655,1.169067576,1.16783613282,1.16663701763,1.16541871835,1.16384347724,1.16251612782,1.16069352576,1.15888631664,1.15697523876,1.15407909386,1.15245390338,1.14846091052,1.14472572347,1.14057635678,1.13497341424,1.1287597282,1.11924567462,1.10615175666,1.09303222255]","[0.985088424176,0.983980321033,0.982557102639,0.980004328605,0.979569025582,0.977133141209,0.977339787146,0.975002843783,0.975588920131,0.973291180097,0.974094285492,0.971758939902,0.972678096841,0.970420641798,0.971259621415,0.969278523296,0.969719625381,0.967644374383,0.964348232462,0.965326375215,0.962754398939,0.958031570199,0.952957432403,0.947648266945,0.932467612405,0.927451940319]","[0.985074462742,0.983970399091,0.982548957667,0.979994055806,0.979559894807,0.977120233337,0.977328791676,0.97498739526,0.975576113021,0.973272996749,0.974079202765,0.971737316996,0.972659770493,0.970395357625,0.971236406143,0.969248929486,0.969688591002,0.967603576596,0.964289614539,0.965265326793,0.962671726289,0.95790928318,0.952768403677,0.947330155646,0.931808109808,0.925934455831]"
1.0_1.0_2.0_0.6_6,"[1.21830060345,1.24685671076,1.27338239488,1.25328645244,1.19015563964,1.166499666,1.16639656444,1.16855835633,1.1768992436,1.17803463124,1.17703834434,1.17609056178,1.17915489628,1.17890938338,1.17975254541,1.17828488223,1.17799905244,1.17754652524,1.1765817191,1.17601061018,1.17512537873,1.17525877382,1.1746042278,1.17319152429,1.17168667961,1.16932270236]","[1.00181952561,1.01185065703,1.02655818358,0.994615210437,0.98156673022,0.964479556692,0.964867117895,0.965988559278,0.966441217049,0.968273808135,0.968442813271,0.971269641321,0.968611815661,0.968629150887,0.971321956932,0.966981105917,0.96763046302,0.967818225592,0.967133164104,0.963197747381,0.966361642479,0.960176908774,0.96509299563,0.966441480918,0.961144475804,0.951848670045]","[0.997274512939,1.00386679079,1.01623416116,0.992162593419,0.980636536818,0.964043492701,0.964715733861,0.965980334364,0.966419344907,0.968242681574,0.968403672699,0.971201742993,0.968587130748,0.968590979964,0.971267295075,0.966929246334,0.967579100439,0.967778734757,0.967056455836,0.963124251778,0.966270305907,0.960029639953,0.96498188563,0.966115355818,0.960805915084,0.951249111052]"
1.0_1.0_2.0_0.6_7,"[1.16387951896,1.17090263252,1.17533816984,1.17580689309,1.17451619898,1.17405614096,1.17282997732,1.17346477837,1.17260878409,1.1720849498,1.17267908552,1.17260153857,1.17188367694,1.17240224054,1.17158312989,1.17185618289,1.17230923749,1.17205818853,1.17197983981,1.17222579972,1.17150364677,1.17211389211,1.17125313283,1.17214958817,1.1715509282,1.17073216465,1.17184450188]","[0.966033431687,0.966501301796,0.965139243016,0.96403915697,0.962901837548,0.961632956643,0.960709864557,0.960350634887,0.959995413941,0.959455109716,0.95865428656,0.958232829595,0.958022388492,0.957856087605,0.957195571275,0.956855824328,0.956656146205,0.956470521006,0.955972837013,0.95546254661,0.954703295253,0.954171211053,0.952927881895,0.951539374598,0.948570497407,0.943530212997,0.932604465571]","[0.965905820922,0.966376659996,0.965107727005,0.963993254912,0.962884035947,0.961608953141,0.960614191205,0.96033945526,0.95993032345,0.959370425335,0.958642337944,0.958216164967,0.957994948779,0.957825119341,0.957149112719,0.956800895655,0.956641319112,0.956418706648,0.955936857277,0.955450935409,0.954631728761,0.954154008187,0.95287156388,0.951486934847,0.948431301903,0.943526778763,0.932559618823]"
1.0_1.0_2.0_0.6_8,"[1.2371124585,1.23745391258,1.23700592974,1.23642086154,1.23561810242,1.23520796326,1.23478315489,1.23404957775,1.23327507389,1.23300800934,1.2324576752,1.23137124374,1.23143288375,1.23079158061,1.22958862391,1.22793511942,1.22792792123,1.22599447187,1.22534332275,1.22446100755,1.22299582488,1.22084260165,1.21909022756,1.2205083659,1.22133368717,1.2192041882]","[0.968093851752,0.96838536392,0.96766408157,0.966606806539,0.965446497201,0.964636644614,0.964309511818,0.963873928348,0.963211408686,0.966465872902,0.964248744634,0.967903216905,0.965786105598,0.964229599886,0.963028553282,0.967721165034,0.965541113066,0.966898428291,0.964095610709,0.966608938711,0.968619921247,0.971583004645,0.971793723156,0.96653748852,0.958995571255,0.959856009659]","[0.968090263027,0.968374456637,0.967649232808,0.966591107486,0.965429849864,0.964617701441,0.964289220695,0.963852080038,0.963186087658,0.96642639882,0.964223046396,0.967828480818,0.965745157175,0.964195587715,0.962986112752,0.967643022893,0.965491868555,0.966831885988,0.964026391619,0.966532993967,0.968515627317,0.971410359185,0.971605560807,0.9662402745,0.958623682906,0.959259851628]"
1.0_1.0_2.0_0.6_9,"[1.20962915961,1.20888376637,1.20943339601,1.20977419922,1.20944050445,1.20869826006,1.20787658344,1.20708071346,1.20626008881,1.20535187698,1.20434260638,1.20325390386,1.20638931237,1.20908091771,1.21351525757,1.21616009231,1.21643879312,1.21439859321,1.21376214239,1.21367732465,1.21256764053,1.21243159785,1.21244963296,1.21169245774,1.20968183474,1.20734049383]","[0.974117801205,0.972050020528,0.97016023939,0.968564910097,0.967219808912,0.966034919768,0.964940615725,0.963894489218,0.962870856129,0.96185354467,0.960832721084,0.959802565959,0.965071762282,0.962909758032,0.960381516022,0.96448167108,0.964603659898,0.96046693111,0.966093216695,0.959073419857,0.958254286381,0.955276102188,0.958599782195,0.955532920299,0.955206212758,0.947303804858]","[0.97407149613,0.972008784556,0.970117745229,0.968515725669,0.967163028158,0.965972653629,0.964874532615,0.963825175504,0.962798725506,0.961779506548,0.960758144202,0.959728781476,0.965014059565,0.962874378253,0.960325205485,0.964432593921,0.964528377183,0.960375801465,0.965969448911,0.958979880027,0.958135438912,0.955098013173,0.958418559046,0.955242890831,0.954792217976,0.94642486855]"
1.0_1.0_2.0_0.6_10,"[1.17641304062,1.18565754169,1.18807462071,1.19352087068,1.19576272975,1.1966786838,1.19594661731,1.19521915901,1.19553344354,1.19445276007,1.19399528658,1.19548718562,1.19502538472,1.19432127603,1.19506570751,1.19510587891,1.19509324856,1.19420134434,1.19470248784,1.19420429075,1.19341820678,1.19344723338,1.19378456822,1.19312084833,1.19268666013,1.19266960403]","[0.983223456009,0.974570172392,0.969832797225,0.976007528439,0.97260711567,0.971050659906,0.969677892363,0.968839679073,0.967328141213,0.966788169158,0.965060582591,0.965812343153,0.967896793252,0.966566829076,0.96381273971,0.964131501033,0.964274584946,0.959651377844,0.960539086538,0.963939869144,0.959786937299,0.96035898982,0.956352190295,0.958717219161,0.951416280923,0.940851715372]","[0.98304863599,0.974540989665,0.969691340764,0.975968374394,0.972553989161,0.971038141819,0.969651443646,0.968757141105,0.967312671853,0.96673184834,0.965006251332,0.96578235082,0.967855993998,0.966537448936,0.963784933468,0.964100335087,0.964234597283,0.9594968947,0.960476347623,0.963797545857,0.959730177129,0.960234397531,0.956229476168,0.958539793196,0.951174976642,0.940475079551]"
