v,re,s,ra,c_d
1.0,0.2,1.0,0.2,0.017561137669940566
1.0,0.2,1.0,0.4,0.0441048524355871
1.0,0.2,1.0,0.6,0.06734027824390458
1.0,0.2,1.0,0.8,0.09899149197806933
1.0,0.2,1.0,1.0,0.13686697047206955
1.0,0.2,1.0,1.2,0.17372476528850112
1.0,0.2,1.0,1.4,0.20967611727408628
1.0,0.2,1.0,1.6,0.24425395327807334
1.0,0.2,1.0,1.8,0.27721648033979346
1.0,0.2,1.0,2.0,0.30823207291025245
1.0,0.2,1.2,0.2,0.018813892390405623
1.0,0.2,1.2,0.4,0.04950488042031196
1.0,0.2,1.2,0.6,0.0773053334014075
1.0,0.2,1.2,0.8,0.11965711809872294
1.0,0.2,1.2,1.0,0.16387831608481981
1.0,0.2,1.2,1.2,0.2078034951894906
1.0,0.2,1.2,1.4,0.24957192123918695
1.0,0.2,1.2,1.6,0.2895681593894494
1.0,0.2,1.2,1.8,0.32657201642789147
1.0,0.2,1.2,2.0,0.3613640175845799
1.0,0.2,1.4,0.2,0.019932960370474845
1.0,0.2,1.4,0.4,0.05425916797698945
1.0,0.2,1.4,0.6,0.08880786289240457
1.0,0.2,1.4,0.8,0.13867347965462906
1.0,0.2,1.4,1.0,0.18887434029452874
1.0,0.2,1.4,1.2,0.23826034142516972
1.0,0.2,1.4,1.4,0.2848168766617248
1.0,0.2,1.4,1.6,0.32832632721714533
1.0,0.2,1.4,1.8,0.36948820055039727
1.0,0.2,1.4,2.0,0.40869246573837026
1.0,0.2,1.6,0.2,0.020974402174185613
1.0,0.2,1.6,0.4,0.05853438344634967
1.0,0.2,1.6,0.6,0.10065372161367135
1.0,0.2,1.6,0.8,0.1558703929046985
1.0,0.2,1.6,1.0,0.211492909817866
1.0,0.2,1.6,1.2,0.2650651660354377
1.0,0.2,1.6,1.4,0.3155331975376525
1.0,0.2,1.6,1.6,0.36300635179982726
1.0,0.2,1.6,1.8,0.4081780344312941
1.0,0.2,1.6,2.0,0.45062880827887725
1.0,0.2,1.8,0.2,0.021971549399530884
1.0,0.2,1.8,0.4,0.062427787854806106
1.0,0.2,1.8,0.6,0.11169009479445208
1.0,0.2,1.8,0.8,0.17209568916816118
1.0,0.2,1.8,1.0,0.2322861023065554
1.0,0.2,1.8,1.2,0.28950657144516434
1.0,0.2,1.8,1.4,0.34337899823895757
1.0,0.2,1.8,1.6,0.39454147479005214
1.0,0.2,1.8,1.8,0.4428078212396352
1.0,0.2,1.8,2.0,0.488723050930635
1.0,0.2,2.0,0.2,0.02268040717035736
1.0,0.2,2.0,0.4,0.06591671994494461
1.0,0.2,2.0,0.6,0.12206990248976761
1.0,0.2,2.0,0.8,0.18694011805282418
1.0,0.2,2.0,1.0,0.2509302887483305
1.0,0.2,2.0,1.2,0.3115165034659799
1.0,0.2,2.0,1.4,0.36874177563880306
1.0,0.2,2.0,1.6,0.4231396977261443
1.0,0.2,2.0,1.8,0.4746092694321637
1.0,0.2,2.0,2.0,0.5236484355416753
1.0,0.2,2.2,0.2,0.023526024963771364
1.0,0.2,2.2,0.4,0.06940713355986709
1.0,0.2,2.2,0.6,0.13170234967841624
1.0,0.2,2.2,0.8,0.2007922849596784
1.0,0.2,2.2,1.0,0.2679141457580955
1.0,0.2,2.2,1.2,0.33175366981450666
1.0,0.2,2.2,1.4,0.3921638659011122
1.0,0.2,2.2,1.6,0.4492486274465069
1.0,0.2,2.2,1.8,0.5036775606124761
1.0,0.2,2.2,2.0,0.5551697314242762
1.0,0.2,2.4,0.2,0.024017530620507755
1.0,0.2,2.4,0.4,0.07297925809652889
1.0,0.2,2.4,0.6,0.1406930511338741
1.0,0.2,2.4,0.8,0.21356830208346428
1.0,0.2,2.4,1.0,0.2837480317685065
1.0,0.2,2.4,1.2,0.3504444828755582
1.0,0.2,2.4,1.4,0.4137191816858541
1.0,0.2,2.4,1.6,0.47312922341191527
1.0,0.2,2.4,1.8,0.5307947946279101
1.0,0.2,2.4,2.0,0.5843742375020593
1.0,0.2,2.6,0.2,0.025082062240282782
1.0,0.2,2.6,0.4,0.07677737298478352
1.0,0.2,2.6,0.6,0.14940122222763727
1.0,0.2,2.6,0.8,0.2253372618394011
1.0,0.2,2.6,1.0,0.29866373743183117
1.0,0.2,2.6,1.2,0.3678059714857862
1.0,0.2,2.6,1.4,0.4337242720205644
1.0,0.2,2.6,1.6,0.4963026986113165
1.0,0.2,2.6,1.8,0.5556341121139783
1.0,0.2,2.6,2.0,0.6115497135236874
1.0,0.2,2.8,0.2,0.025956970515031364
