v,re,s,ra,c_d
-0.0,-0.0,-0.0,-0.0,0.017561137669940566
-0.0,-0.0,-0.0,0.1,0.0441048524355871
-0.0,-0.0,-0.0,0.2,0.06734027824390458
-0.0,-0.0,-0.0,0.3,0.09899149197806932
-0.0,-0.0,-0.0,0.4,0.13686697047206955
-0.0,-0.0,-0.0,0.6,0.17372476528850112
-0.0,-0.0,-0.0,0.7,0.20967611727408628
-0.0,-0.0,-0.0,0.8,0.2442539532780733
-0.0,-0.0,-0.0,0.9,0.27721648033979346
-0.0,-0.0,-0.0,1.0,0.30823207291025245
-0.0,-0.0,0.1,-0.0,0.018813892390405627
-0.0,-0.0,0.1,0.1,0.04950488042031196
-0.0,-0.0,0.1,0.2,0.0773053334014075
-0.0,-0.0,0.1,0.3,0.11965711809872295
-0.0,-0.0,0.1,0.4,0.1638783160848198
-0.0,-0.0,0.1,0.6,0.2078034951894906
-0.0,-0.0,0.1,0.7,0.2495719212391869
-0.0,-0.0,0.1,0.8,0.2895681593894494
-0.0,-0.0,0.1,0.9,0.3265720164278915
-0.0,-0.0,0.1,1.0,0.3613640175845799
-0.0,-0.0,0.1,-0.0,0.019932960370474845
-0.0,-0.0,0.1,0.1,0.05425916797698945
-0.0,-0.0,0.1,0.2,0.08880786289240457
-0.0,-0.0,0.1,0.3,0.13867347965462906
-0.0,-0.0,0.1,0.4,0.18887434029452874
-0.0,-0.0,0.1,0.6,0.2382603414251697
-0.0,-0.0,0.1,0.7,0.2848168766617248
-0.0,-0.0,0.1,0.8,0.3283263272171453
-0.0,-0.0,0.1,0.9,0.3694882005503973
-0.0,-0.0,0.1,1.0,0.4086924657383703
-0.0,-0.0,0.2,-0.0,0.020974402174185613
-0.0,-0.0,0.2,0.1,0.058534383446349675
-0.0,-0.0,0.2,0.2,0.10065372161367137
-0.0,-0.0,0.2,0.3,0.1558703929046985
-0.0,-0.0,0.2,0.4,0.211492909817866
-0.0,-0.0,0.2,0.6,0.2650651660354377
-0.0,-0.0,0.2,0.7,0.3155331975376525
-0.0,-0.0,0.2,0.8,0.3630063517998273
-0.0,-0.0,0.2,0.9,0.4081780344312941
-0.0,-0.0,0.2,1.0,0.4506288082788773
-0.0,-0.0,0.3,-0.0,0.021971549399530884
-0.0,-0.0,0.3,0.1,0.0624277878548061
-0.0,-0.0,0.3,0.2,0.11169009479445208
-0.0,-0.0,0.3,0.3,0.17209568916816118
-0.0,-0.0,0.3,0.4,0.2322861023065554
-0.0,-0.0,0.3,0.6,0.28950657144516434
-0.0,-0.0,0.3,0.7,0.3433789982389576
-0.0,-0.0,0.3,0.8,0.39454147479005214
-0.0,-0.0,0.3,0.9,0.4428078212396352
-0.0,-0.0,0.3,1.0,0.48872305093063506
-0.0,-0.0,0.3,-0.0,0.02268040717035736
-0.0,-0.0,0.3,0.1,0.06591671994494461
-0.0,-0.0,0.3,0.2,0.1220699024897676
-0.0,-0.0,0.3,0.3,0.18694011805282415
-0.0,-0.0,0.3,0.4,0.2509302887483305
-0.0,-0.0,0.3,0.6,0.3115165034659799
-0.0,-0.0,0.3,0.7,0.3687417756388031
-0.0,-0.0,0.3,0.8,0.4231396977261443
-0.0,-0.0,0.3,0.9,0.4746092694321637
-0.0,-0.0,0.3,1.0,0.5236484355416753
-0.0,-0.0,0.4,-0.0,0.02352602496377136
-0.0,-0.0,0.4,0.1,0.06940713355986709
-0.0,-0.0,0.4,0.2,0.13170234967841624
-0.0,-0.0,0.4,0.3,0.2007922849596784
-0.0,-0.0,0.4,0.4,0.2679141457580955
-0.0,-0.0,0.4,0.6,0.33175366981450666
-0.0,-0.0,0.4,0.7,0.3921638659011122
-0.0,-0.0,0.4,0.8,0.4492486274465069
