v,re,s,ra,a_s
1.0,0.2,1.0,0.2,0.10475617748632492
1.0,0.2,1.0,0.4,0.10252044843679713
1.0,0.2,1.0,0.6,0.10354144714564838
1.0,0.2,1.0,0.8,0.10298210325298868
1.0,0.2,1.0,1.0,0.10264070631848869
1.0,0.2,1.0,1.2,0.10196491028734284
1.0,0.2,1.0,1.4,0.1018120927710285
1.0,0.2,1.0,1.6,0.10154588186214815
1.0,0.2,1.0,1.8,0.10133239310525465
1.0,0.2,1.0,2.0,0.10124952430312097
1.0,0.2,1.2,0.2,0.10467019927963225
1.0,0.2,1.2,0.4,0.10286188717473424
1.0,0.2,1.2,0.6,0.1032011529933415
1.0,0.2,1.2,0.8,0.1027018783902023
1.0,0.2,1.2,1.0,0.10184453878784877
1.0,0.2,1.2,1.2,0.10172839452708596
1.0,0.2,1.2,1.4,0.10142775535864876
1.0,0.2,1.2,1.6,0.10122897826600945
1.0,0.2,1.2,1.8,0.10102654360229053
1.0,0.2,1.2,2.0,0.10095546978761058
1.0,0.2,1.4,0.2,0.1047675837923138
1.0,0.2,1.4,0.4,0.10317913996058692
1.0,0.2,1.4,0.6,0.10296444758997095
1.0,0.2,1.4,0.8,0.10222142577378464
1.0,0.2,1.4,1.0,0.10164000206267275
1.0,0.2,1.4,1.2,0.10142262666522359
1.0,0.2,1.4,1.4,0.10121858880742397
1.0,0.2,1.4,1.6,0.1010183658468404
1.0,0.2,1.4,1.8,0.10092971236743578
1.0,0.2,1.4,2.0,0.1009260569680188
1.0,0.2,1.6,0.2,0.10452629171865609
1.0,0.2,1.6,0.4,0.10332709792588159
1.0,0.2,1.6,0.6,0.1028302083535405
1.0,0.2,1.6,0.8,0.10189248074729866
1.0,0.2,1.6,1.0,0.10142674119230324
1.0,0.2,1.6,1.2,0.10121259482641914
1.0,0.2,1.6,1.4,0.10105180056956162
1.0,0.2,1.6,1.6,0.10092638084514287
1.0,0.2,1.6,1.8,0.10089817937026649
1.0,0.2,1.6,2.0,0.10085933392078354
1.0,0.2,1.8,0.2,0.10476464777869528
1.0,0.2,1.8,0.4,0.10356455117616781
1.0,0.2,1.8,0.6,0.10258486718736994
1.0,0.2,1.8,0.8,0.10161460166191094
1.0,0.2,1.8,1.0,0.10128023522117895
1.0,0.2,1.8,1.2,0.10116054422999933
1.0,0.2,1.8,1.4,0.10094719969237725
1.0,0.2,1.8,1.6,0.10085785317736118
1.0,0.2,1.8,1.8,0.10084696093894896
1.0,0.2,1.8,2.0,0.10085563406682758
1.0,0.2,2.0,0.2,0.10536923457722545
1.0,0.2,2.0,0.4,0.1035533378488826
1.0,0.2,2.0,0.6,0.10233239885840331
1.0,0.2,2.0,0.8,0.10145995432009218
1.0,0.2,2.0,1.0,0.1011693591624536
1.0,0.2,2.0,1.2,0.10109400613802762
1.0,0.2,2.0,1.4,0.10088102711068482
1.0,0.2,2.0,1.6,0.1008858637324617
1.0,0.2,2.0,1.8,0.10090388409544225
1.0,0.2,2.0,2.0,0.10081683712345384
1.0,0.2,2.2,0.2,0.10414875288919584
1.0,0.2,2.2,0.4,0.10325061504466856
1.0,0.2,2.2,0.6,0.10200286742187208
1.0,0.2,2.2,0.8,0.1013591422762087
1.0,0.2,2.2,1.0,0.101079878481745
1.0,0.2,2.2,1.2,0.10090743473801003
1.0,0.2,2.2,1.4,0.10085231917203566
1.0,0.2,2.2,1.6,0.10076487275654046
1.0,0.2,2.2,1.8,0.10075972467754243
1.0,0.2,2.2,2.0,0.10072142197935322
1.0,0.2,2.4,0.2,0.1034518046789467
1.0,0.2,2.4,0.4,0.10315110447300753
1.0,0.2,2.4,0.6,0.10176222066996389
1.0,0.2,2.4,0.8,0.1012479258214252
1.0,0.2,2.4,1.0,0.10092351633478953
1.0,0.2,2.4,1.2,0.10088308790197274
1.0,0.2,2.4,1.4,0.10085352624527229
1.0,0.2,2.4,1.6,0.10073800533253262
1.0,0.2,2.4,1.8,0.10085419623141827
1.0,0.2,2.4,2.0,0.10070045883082089
1.0,0.2,2.6,0.2,0.10310895336843176
1.0,0.2,2.6,0.4,0.10303741856216513
1.0,0.2,2.6,0.6,0.10164582850825604
1.0,0.2,2.6,0.8,0.10114004883268224
1.0,0.2,2.6,1.0,0.10101555416081137
1.0,0.2,2.6,1.2,0.10080731528981779
1.0,0.2,2.6,1.4,0.10080344671565832
1.0,0.2,2.6,1.6,0.10085287097231842
1.0,0.2,2.6,1.8,0.10080203802679162
1.0,0.2,2.6,2.0,0.10072889097684562
1.0,0.2,2.8,0.2,0.10291924925978337
1.0,0.2,2.8,0.4,0.102800395528246
1.0,0.2,2.8,0.6,0.10146799593498404
1.0,0.2,2.8,0.8,0.10103911442638588
1.0,0.2,2.8,1.0,0.10086618288367286
1.0,0.2,2.8,1.2,0.10078133229010962
1.0,0.2,2.8,1.4,0.10077990489251194
1.0,0.2,2.8,1.6,0.10075918263640754
1.0,0.2,2.8,1.8,0.10075742495086243
1.0,0.2,2.8,2.0,0.10072748758142475
1.0,0.2,3.0,0.2,0.10326135715648811
1.0,0.2,3.0,0.4,0.10266968307812442
1.0,0.2,3.0,0.6,0.10139666789051685
1.0,0.2,3.0,0.8,0.10096216750257214
1.0,0.2,3.0,1.0,0.10085834475727364
1.0,0.2,3.0,1.2,0.1007444822727748
1.0,0.2,3.0,1.4,0.10075305561312738
1.0,0.2,3.0,1.6,0.10081776859090162
1.0,0.2,3.0,1.8,0.10068531382353618
1.0,0.2,3.0,2.0,0.10064233086553288
1.0,0.2,3.2,0.2,0.10294848115179739
1.0,0.2,3.2,0.4,0.10257500304527407
1.0,0.2,3.2,0.6,0.10128626157764015
1.0,0.2,3.2,0.8,0.10095238532761774
1.0,0.2,3.2,1.0,0.10086558071213306
1.0,0.2,3.2,1.2,0.10079727107228495
1.0,0.2,3.2,1.4,0.10084374132693807
1.0,0.2,3.2,1.6,0.10080616807245782
1.0,0.2,3.2,1.8,0.10076206078554181
1.0,0.2,3.2,2.0,0.10060304011936215
1.0,0.2,3.4,0.2,0.10284643634460452
1.0,0.2,3.4,0.4,0.1024362067569251
1.0,0.2,3.4,0.6,0.10124183145304261
1.0,0.2,3.4,0.8,0.10091713657226585
1.0,0.2,3.4,1.0,0.10077984299341104
1.0,0.2,3.4,1.2,0.10073693613500283
1.0,0.2,3.4,1.4,0.10079605907188594
1.0,0.2,3.4,1.6,0.1007831523432449
1.0,0.2,3.4,1.8,0.10075642219409156
1.0,0.2,3.4,2.0,0.10050296160921586
1.0,0.2,3.6,0.2,0.10283338074773488
1.0,0.2,3.6,0.4,0.10269106718013266
1.0,0.2,3.6,0.6,0.10114533560673705
1.0,0.2,3.6,0.8,0.10083607920245194
1.0,0.2,3.6,1.0,0.10072967012872495
1.0,0.2,3.6,1.2,0.10083421449258032
1.0,0.2,3.6,1.4,0.10077605933986847
1.0,0.2,3.6,1.6,0.10072452131221044
1.0,0.2,3.6,1.8,0.10064690739495401
1.0,0.2,3.6,2.0,0.1005298328297084
1.0,0.2,3.8,0.2,0.10272987359358482
1.0,0.2,3.8,0.4,0.10255454871251106
1.0,0.2,3.8,0.6,0.10109617980915486
1.0,0.2,3.8,0.8,0.10074588172501721
1.0,0.2,3.8,1.0,0.10073978512144612
1.0,0.2,3.8,1.2,0.10075489177062291
1.0,0.2,3.8,1.4,0.10073638511106021
1.0,0.2,3.8,1.6,0.10063254606543151
1.0,0.2,3.8,1.8,0.1006259128546509
1.0,0.2,3.8,2.0,0.10041327459522191
1.0,0.2,4.0,0.2,0.10285628711822124
1.0,0.2,4.0,0.4,0.10256586333639416
1.0,0.2,4.0,0.6,0.10112046432866044
1.0,0.2,4.0,0.8,0.10073755179782758
1.0,0.2,4.0,1.0,0.10075358639738866
1.0,0.2,4.0,1.2,0.10075012335135186
1.0,0.2,4.0,1.4,0.10079895391884995
1.0,0.2,4.0,1.6,0.10067066076281882
1.0,0.2,4.0,1.8,0.10050238717772329
1.0,0.2,4.0,2.0,0.10038330650869
1.0,0.4,1.0,0.2,0.1064951982616249
1.0,0.4,1.0,0.4,0.10010356569947303
1.0,0.4,1.0,0.6,0.10053642126433919
1.0,0.4,1.0,0.8,0.09765335383470103
