v,re,s,ra,a_s
-0.0,-0.0,-0.0,-0.0,0.10475617748632493
-0.0,-0.0,-0.0,0.1,0.10252044843679713
-0.0,-0.0,-0.0,0.2,0.10354144714564838
-0.0,-0.0,-0.0,0.3,0.10298210325298868
-0.0,-0.0,-0.0,0.4,0.10264070631848868
-0.0,-0.0,-0.0,0.6,0.10196491028734284
-0.0,-0.0,-0.0,0.7,0.1018120927710285
-0.0,-0.0,-0.0,0.8,0.10154588186214816
-0.0,-0.0,-0.0,0.9,0.10133239310525463
-0.0,-0.0,-0.0,1.0,0.10124952430312097
-0.0,-0.0,0.1,-0.0,0.10467019927963224
-0.0,-0.0,0.1,0.1,0.10286188717473424
-0.0,-0.0,0.1,0.2,0.1032011529933415
-0.0,-0.0,0.1,0.3,0.1027018783902023
-0.0,-0.0,0.1,0.4,0.10184453878784876
-0.0,-0.0,0.1,0.6,0.10172839452708596
-0.0,-0.0,0.1,0.7,0.10142775535864876
-0.0,-0.0,0.1,0.8,0.10122897826600943
-0.0,-0.0,0.1,0.9,0.10102654360229052
-0.0,-0.0,0.1,1.0,0.10095546978761058
-0.0,-0.0,0.1,-0.0,0.1047675837923138
-0.0,-0.0,0.1,0.1,0.10317913996058692
-0.0,-0.0,0.1,0.2,0.10296444758997096
-0.0,-0.0,0.1,0.3,0.10222142577378464
-0.0,-0.0,0.1,0.4,0.10164000206267276
-0.0,-0.0,0.1,0.6,0.1014226266652236
-0.0,-0.0,0.1,0.7,0.10121858880742396
-0.0,-0.0,0.1,0.8,0.1010183658468404
-0.0,-0.0,0.1,0.9,0.10092971236743578
-0.0,-0.0,0.1,1.0,0.1009260569680188
-0.0,-0.0,0.2,-0.0,0.10452629171865607
-0.0,-0.0,0.2,0.1,0.1033270979258816
-0.0,-0.0,0.2,0.2,0.1028302083535405
-0.0,-0.0,0.2,0.3,0.10189248074729866
-0.0,-0.0,0.2,0.4,0.10142674119230324
-0.0,-0.0,0.2,0.6,0.10121259482641914
-0.0,-0.0,0.2,0.7,0.10105180056956163
-0.0,-0.0,0.2,0.8,0.10092638084514287
-0.0,-0.0,0.2,0.9,0.10089817937026647
-0.0,-0.0,0.2,1.0,0.10085933392078354
-0.0,-0.0,0.3,-0.0,0.10476464777869528
-0.0,-0.0,0.3,0.1,0.1035645511761678
-0.0,-0.0,0.3,0.2,0.10258486718736994
-0.0,-0.0,0.3,0.3,0.10161460166191094
-0.0,-0.0,0.3,0.4,0.10128023522117896
-0.0,-0.0,0.3,0.6,0.10116054422999933
-0.0,-0.0,0.3,0.7,0.10094719969237724
-0.0,-0.0,0.3,0.8,0.10085785317736118
-0.0,-0.0,0.3,0.9,0.10084696093894896
-0.0,-0.0,0.3,1.0,0.10085563406682757
-0.0,-0.0,0.3,-0.0,0.10536923457722544
-0.0,-0.0,0.3,0.1,0.1035533378488826
-0.0,-0.0,0.3,0.2,0.10233239885840333
-0.0,-0.0,0.3,0.3,0.10145995432009218
-0.0,-0.0,0.3,0.4,0.1011693591624536
-0.0,-0.0,0.3,0.6,0.10109400613802763
-0.0,-0.0,0.3,0.7,0.10088102711068482
-0.0,-0.0,0.3,0.8,0.1008858637324617
-0.0,-0.0,0.3,0.9,0.10090388409544224
-0.0,-0.0,0.3,1.0,0.10081683712345384
-0.0,-0.0,0.4,-0.0,0.10414875288919584
-0.0,-0.0,0.4,0.1,0.10325061504466856
-0.0,-0.0,0.4,0.2,0.10200286742187208
-0.0,-0.0,0.4,0.3,0.1013591422762087
-0.0,-0.0,0.4,0.4,0.10107987848174499
-0.0,-0.0,0.4,0.6,0.10090743473801003
-0.0,-0.0,0.4,0.7,0.10085231917203566
-0.0,-0.0,0.4,0.8,0.10076487275654046
-0.0,-0.0,0.4,0.9,0.10075972467754243
-0.0,-0.0,0.4,1.0,0.10072142197935323
-0.0,-0.0,0.5,-0.0,0.1034518046789467
-0.0,-0.0,0.5,0.1,0.10315110447300753
-0.0,-0.0,0.5,0.2,0.10176222066996388
-0.0,-0.0,0.5,0.3,0.1012479258214252
-0.0,-0.0,0.5,0.4,0.10092351633478952
-0.0,-0.0,0.5,0.6,0.10088308790197274
-0.0,-0.0,0.5,0.7,0.10085352624527227
-0.0,-0.0,0.5,0.8,0.10073800533253263
-0.0,-0.0,0.5,0.9,0.10085419623141828
-0.0,-0.0,0.5,1.0,0.10070045883082088
-0.0,-0.0,0.5,-0.0,0.10310895336843176
-0.0,-0.0,0.5,0.1,0.10303741856216513
-0.0,-0.0,0.5,0.2,0.10164582850825604
-0.0,-0.0,0.5,0.3,0.10114004883268224
-0.0,-0.0,0.5,0.4,0.10101555416081136
-0.0,-0.0,0.5,0.6,0.1008073152898178
-0.0,-0.0,0.5,0.7,0.10080344671565833
-0.0,-0.0,0.5,0.8,0.10085287097231843
-0.0,-0.0,0.5,0.9,0.10080203802679162
-0.0,-0.0,0.5,1.0,0.10072889097684562
-0.0,-0.0,0.6,-0.0,0.10291924925978337
-0.0,-0.0,0.6,0.1,0.10280039552824599
-0.0,-0.0,0.6,0.2,0.10146799593498404
-0.0,-0.0,0.6,0.3,0.10103911442638587
-0.0,-0.0,0.6,0.4,0.10086618288367286
-0.0,-0.0,0.6,0.6,0.10078133229010962
-0.0,-0.0,0.6,0.7,0.10077990489251194
-0.0,-0.0,0.6,0.8,0.10075918263640754
-0.0,-0.0,0.6,0.9,0.10075742495086244
-0.0,-0.0,0.6,1.0,0.10072748758142476
-0.0,-0.0,0.7,-0.0,0.10326135715648813
-0.0,-0.0,0.7,0.1,0.10266968307812442
-0.0,-0.0,0.7,0.2,0.10139666789051684
-0.0,-0.0,0.7,0.3,0.10096216750257214
-0.0,-0.0,0.7,0.4,0.10085834475727364
-0.0,-0.0,0.7,0.6,0.1007444822727748
-0.0,-0.0,0.7,0.7,0.10075305561312738
-0.0,-0.0,0.7,0.8,0.10081776859090162
-0.0,-0.0,0.7,0.9,0.10068531382353617
-0.0,-0.0,0.7,1.0,0.10064233086553287
-0.0,-0.0,0.7,-0.0,0.1029484811517974
-0.0,-0.0,0.7,0.1,0.10257500304527407
-0.0,-0.0,0.7,0.2,0.10128626157764016
-0.0,-0.0,0.7,0.3,0.10095238532761774
-0.0,-0.0,0.7,0.4,0.10086558071213306
-0.0,-0.0,0.7,0.6,0.10079727107228496
-0.0,-0.0,0.7,0.7,0.10084374132693807
-0.0,-0.0,0.7,0.8,0.10080616807245782
