v,re,s,ra,c_d
1.4,0.6,2.4,0.4,0.07138512098458838
3.0,1.4,1.0,0.6,0.06620922532714826
1.4,1.8,2.8,0.2,0.056600740063087324
2.2,0.8,3.2,0.4,0.08347465480149066
1.4,1.8,1.2,0.6,0.07582305285030523
1.8,0.8,1.2,0.2,0.022741117019368408
1.8,0.4,2.0,0.4,0.06287369998179088
1.2,0.6,3.0,0.4,0.08294948837646697
3.0,1.8,1.4,0.2,0.026478490688625504
1.2,0.6,2.4,0.2,0.03917619003664597
2.6,1.2,1.8,0.2,0.0324157760242247
2.2,2.0,2.8,0.4,0.08165893163319947
2.6,1.4,1.0,0.2,0.022401278306166623
1.2,0.8,3.0,0.2,0.05423291942449466
2.8,0.4,1.2,0.8,0.0933244317166402
3.0,1.4,2.4,0.2,0.03954742710485062
2.2,1.6,1.0,0.8,0.0951774230343622
1.4,1.0,3.0,0.4,0.08369593849176526
1.4,1.4,2.4,0.4,0.07385378817338155
2.8,0.2,3.8,0.2,0.0197410475667412
1.8,0.2,2.6,0.4,0.06734944684249773
1.0,1.8,2.0,0.4,0.0717404981127745
2.0,1.0,4.0,0.2,0.04869674175769327
1.8,1.0,2.0,0.2,0.04244218794499708
2.8,2.0,1.8,0.4,0.06755743001742552
1.8,0.8,4.0,0.2,0.046997931885757606
1.6,0.6,2.6,0.2,0.03151897374999346
2.2,1.0,1.0,0.8,0.09323420543505187
1.8,0.8,1.8,0.2,0.033344236107773866
3.0,1.0,4.0,0.2,0.03678376048151751
2.8,1.6,3.4,0.4,0.09015779403799012
1.8,1.0,4.0,0.2,0.05292918136298689
2.4,1.0,3.0,0.2,0.0432863467927279
1.4,2.0,2.4,0.2,0.0552942533350957
2.2,0.6,3.6,0.4,0.09128332467052272
2.6,0.8,3.8,0.4,0.09468770844023927
2.6,1.0,1.4,0.2,0.02446464080518193
1.4,1.2,3.4,0.4,0.093830324885925
2.2,0.4,1.8,0.4,0.05279659929433456
2.4,0.6,2.6,0.4,0.06978527928304308
3.0,1.8,1.6,0.6,0.09549883477115724
1.6,2.0,1.8,0.4,0.07059131591706054
2.2,2.0,2.6,0.2,0.051667520055551454
2.4,0.4,1.8,0.2,0.012893940550334848
1.0,0.6,1.8,0.2,0.037987329758593216
2.8,0.8,1.0,0.6,0.05986829527708731
1.8,1.2,2.4,0.2,0.04873071710879942
1.4,1.2,3.4,0.2,0.05767902524077685
1.0,0.6,1.0,0.4,0.05931409841255045
2.0,1.4,1.4,0.6,0.08297667483216435
3.0,2.0,3.2,0.4,0.0836792037619168
