v,re,s,ra,a_s
1.0,1.8,2.8,1.0,0.03246711182124277
1.0,1.6,4.0,1.8,0.059824455904068014
1.0,0.8,1.4,0.8,0.08738367244868342
1.0,1.8,1.4,0.2,0.09840185751955764
1.0,0.8,1.4,1.6,0.08356653957037859
1.0,1.4,3.6,1.2,0.039396361680842415
1.2,1.8,1.4,2.0,0.0711453256201769
1.0,2.0,3.0,0.6,0.06088529026932634
1.0,1.2,3.8,2.0,0.07116021572836873
1.0,0.4,3.6,0.8,0.09504471328395094
1.0,0.4,4.0,2.0,0.09365538448954568
1.0,2.0,1.8,0.6,0.062070521863210965
1.0,0.6,4.0,0.8,0.0888632163031335
1.0,1.0,3.8,0.4,0.08299888488119299
1.0,0.6,4.0,1.0,0.08861222801529421
1.0,0.4,1.0,0.8,0.09765335383470104
1.0,1.6,3.2,1.2,0.035570045146869886
1.0,1.8,3.4,1.4,0.0018594968026357421
1.0,1.2,3.2,0.4,0.07895897372597435
1.0,1.2,4.0,0.4,0.07871489012827054
1.0,1.8,3.0,0.8,0.06281232943707807
1.0,2.0,2.4,1.2,0.028482648643677024
1.0,2.0,2.4,0.6,0.061207027013194734
1.0,0.4,3.6,2.0,0.09389435109474356
1.0,1.4,1.2,0.6,0.07818365260058434
1.0,2.0,2.4,1.4,0.02885986523018705
1.0,1.6,3.0,0.8,0.0667913137859412
1.0,1.6,3.8,0.8,0.06536981877455622
1.2,1.8,2.8,1.4,0.07029075742618142
1.2,1.6,3.2,1.4,0.07335907254793883
1.0,1.6,1.8,2.0,0.03469058560829008
1.0,1.4,1.4,1.4,0.07043130960968183
1.0,0.6,1.8,1.0,0.0905682049381778
1.0,1.8,2.6,2.0,0.056920122448431476
1.0,1.0,3.2,0.4,0.0834092949295302
1.0,0.4,3.2,1.2,0.09486592309466564
1.0,2.0,3.4,1.2,0.028052115641176725
1.2,2.0,1.8,1.4,0.06845390041381652
1.0,0.4,1.6,1.2,0.09534486215478807
1.0,2.0,3.0,0.6,0.06088529026932634
1.0,0.8,3.2,1.4,0.08257578747007227
1.0,0.4,2.2,1.8,0.09492675670669687
1.0,0.4,2.0,1.4,0.09501792362668306
1.0,1.0,1.4,0.4,0.09441353106385543
1.0,1.0,3.6,1.2,0.04754603021204567
1.0,1.4,1.6,1.6,0.04054511240376872
1.0,2.0,1.8,1.4,0.001063727230438132
1.0,0.4,1.2,1.8,0.09521940656005826
1.0,0.8,2.6,1.8,0.08252780243956331
1.0,1.8,2.2,1.4,0.033259343460013184
1.0,0.6,2.0,1.2,0.08926242080090913
1.0,2.0,1.2,1.4,0.05711999560803027
1.0,1.6,1.6,0.4,0.08650932468805303
1.0,0.4,2.2,1.4,0.0950513928426194
1.0,0.6,2.0,1.2,0.08926242080090913
1.0,0.8,3.2,1.6,0.0820100795632037
1.2,1.4,3.2,1.4,0.07714025260146079
1.0,1.4,3.6,1.8,0.06548821402259902
1.0,1.8,2.0,1.6,0.032591096651385175
1.0,1.6,2.4,1.6,0.006902659520966932
1.0,0.6,2.2,0.4,0.09538609892108416
1.0,1.6,3.0,0.6,0.06897229854779109
1.0,1.4,3.8,0.2,0.09626189891641504
1.0,0.6,2.8,1.8,0.08830236224804869
1.0,1.4,3.2,1.6,0.0378078978783996
1.0,0.8,2.0,1.2,0.08381135761966982
1.0,1.8,4.0,1.4,0.05585071587486793
1.0,1.4,3.4,1.6,0.03748810072633247
1.0,1.8,1.0,1.4,0.06350973949498827
1.0,1.6,2.8,1.2,0.006860535210551679
1.0,1.8,2.2,0.6,0.06510240340455622
1.0,0.8,3.0,1.0,0.08337417220087902
1.0,1.6,4.0,0.4,0.06887861187495678
1.0,1.2,1.4,1.0,0.07715454410946072
1.0,0.6,3.4,1.4,0.08875572850247561
1.0,0.8,1.6,2.0,0.08351981796097131
1.0,1.4,3.6,0.8,0.06952115692285761
1.0,0.4,3.2,0.4,0.09734795890767367
1.0,1.2,2.0,1.2,0.07379222117987652
1.0,1.4,4.0,0.2,0.09578568499731496
1.0,2.0,1.4,1.8,0.02896010896377775
1.0,0.8,2.6,2.0,0.08232197776412696
1.0,0.6,1.0,1.2,0.09190740949117687
1.0,0.4,1.8,1.0,0.09561486967910003
1.0,1.0,1.2,1.4,0.07856243167579748
1.0,1.8,2.4,2.0,0.056991539192735766
1.0,0.6,1.4,1.2,0.09046325192402796
1.0,0.6,1.8,2.0,0.08920219613224463
1.0,0.8,2.4,0.4,0.08989630516861788
1.0,0.8,1.8,1.2,0.08407936655069152
1.0,2.0,3.8,0.6,0.06059596336905184
1.0,1.6,2.8,1.0,0.036396272401101146
1.0,2.0,2.0,1.8,0.02655566551231728
1.0,1.8,1.2,2.0,0.05954648249145824
1.0,1.8,1.0,1.4,0.06350973949498827
1.0,0.4,1.8,1.2,0.09523284483680773
1.0,0.8,2.8,1.6,0.08266123083548857
1.0,2.0,3.2,0.4,0.06404529988970198
1.0,1.6,1.2,1.0,0.06953457278735711
1.0,1.2,1.2,1.8,0.07238950525777146
1.2,1.6,1.6,0.4,0.17356472265656667
1.2,1.0,4.0,1.0,0.16334882702297926
1.4,1.2,3.0,1.4,0.1968375216995795
1.2,0.2,1.0,0.4,0.1890707726250216
1.2,0.4,2.2,0.2,0.19027711382446372
1.2,1.2,3.8,0.2,0.1835871684504774
1.0,0.4,1.6,0.4,0.10062470419406204
1.2,2.0,2.0,1.0,0.14531281496561413
1.4,1.8,1.6,1.4,0.1420346330583566
1.2,1.2,3.0,1.4,0.11991850158099858
1.2,0.8,3.4,1.0,0.16983754629465853
1.4,2.0,1.8,1.6,0.13471595498486302
1.2,0.4,1.8,0.6,0.1850001919938519
1.2,1.6,2.6,0.8,0.15425243640051967
1.2,2.0,2.6,0.2,0.1815634749734664
1.2,0.6,2.0,0.2,0.1913868025448979
1.2,0.2,2.0,1.8,0.18814436483606647
1.2,1.2,2.2,1.2,0.15985664320135767
1.2,0.2,3.8,1.6,0.18775682440921546
1.4,1.6,1.8,2.0,0.14212913681973488
1.4,1.8,2.0,1.8,0.13806688373284412
1.4,1.4,3.6,1.2,0.14476497406020747
1.0,0.2,1.6,2.0,0.10085933392078354
1.2,0.6,3.8,1.6,0.17464936585995364
1.2,0.8,3.8,0.8,0.17029305433889452
1.4,1.8,2.8,1.2,0.1385922568894045
1.2,0.2,1.4,1.0,0.18936282673508845
