v,re,s,ra,c_d
3.0,0.2,3.2,0.2,0.015932390057964062
2.6,1.0,1.0,0.6,0.06275227920069514
1.6,1.8,3.8,0.2,0.05789080123242823
2.2,1.4,1.0,0.4,0.05893267693407435
2.4,0.4,1.0,0.8,0.0830435871188685
1.2,1.2,1.2,0.4,0.06651359475150855
2.8,1.0,2.0,0.4,0.06401389677505827
2.0,1.0,2.4,0.4,0.06867405690548911
2.0,0.6,2.6,0.2,0.024884253396908976
1.6,2.0,1.0,0.6,0.07309793529636002
2.0,1.0,1.6,0.6,0.09918591409337232
2.2,1.6,1.0,0.8,0.0951774230343622
1.8,0.2,3.6,0.4,0.08669955072348315
1.8,1.2,1.6,0.4,0.06592879230406881
2.2,1.0,3.0,0.2,0.042245479662182096
2.2,0.6,1.0,0.6,0.06177168676364996
1.0,1.8,3.2,0.4,0.0910161131925007
1.2,1.0,1.0,0.6,0.06953982268810564
1.0,1.2,1.0,0.2,0.048768234207735794
2.6,0.4,1.2,0.6,0.058929490645779375
1.4,1.2,3.6,0.4,0.09863180214406177
1.4,2.0,1.0,0.2,0.03998213147318879
2.0,1.0,1.6,0.2,0.03721833564467019
1.4,1.8,2.4,0.4,0.07463735206390694
3.0,0.8,1.0,0.2,0.008792247181733914
2.2,1.4,2.8,0.2,0.0482544054593353
2.4,1.6,3.0,0.4,0.08319463497025655
1.8,1.8,1.0,0.8,0.09971732648587288
2.6,0.8,2.0,0.2,0.022687934683726745
2.4,0.4,2.6,0.4,0.06538945053586004
2.6,1.8,4.0,0.2,0.05183673689799476
2.2,1.4,3.6,0.2,0.053992235956550366
1.8,1.6,1.6,0.2,0.046358340599959066
3.0,1.8,2.0,0.4,0.06801311261541143
1.0,0.2,2.6,0.2,0.025082062240282785
2.4,0.4,1.0,0.2,0.008882391120127588
1.8,0.4,3.8,0.4,0.09705617622777073
2.8,1.0,3.4,0.4,0.08950467880912014
2.6,1.0,1.4,0.4,0.062152210474133086
2.6,0.6,3.6,0.2,0.02370073581301476
2.2,0.4,1.4,0.4,0.04560935140028798
2.4,1.8,1.6,0.2,0.03823168553217195
