v,re,s,ra,a_s
1.0,1.2,1.6,2.0,0.04392712616523836
1.0,1.6,1.2,2.0,0.06369809393737626
1.0,0.6,1.2,0.8,0.09270191658263344
1.0,1.6,1.4,1.4,0.06563837409659977
1.0,2.0,2.4,1.2,0.028482648643677076
1.0,2.0,2.4,0.2,0.09492781288651332
1.0,1.6,2.2,1.0,0.06592134810228095
1.0,0.4,3.2,0.4,0.09734795890767373
1.0,1.2,3.2,1.0,0.04432209418947045
1.0,1.6,2.8,1.4,0.035910829337043065
1.0,1.8,3.6,0.4,0.06624376765623889
1.0,0.4,2.2,1.2,0.0950242789052404
1.0,1.2,1.4,1.2,0.07554218136389282
1.0,2.0,1.2,1.2,0.05968045540075435
1.0,1.2,2.8,0.4,0.08022323505401982
1.0,1.6,2.2,1.4,0.03729747197244959
1.0,1.8,3.2,1.2,0.031756369322374585
1.0,0.6,2.8,1.2,0.08908371478300839
1.0,1.4,2.8,0.4,0.07596741652120235
1.0,1.4,1.2,0.8,0.07453570750321782
1.0,0.6,2.8,0.4,0.09283824950264344
1.0,0.6,3.2,0.8,0.08924645352105448
1.0,1.4,3.4,1.8,0.06554915982208538
1.2,1.8,2.4,1.6,0.0705522820664395
1.0,1.6,3.0,1.0,0.036106480154936414
1.0,2.0,1.4,1.8,0.0289601089637778
1.0,0.6,2.4,0.8,0.09043944529378888
1.0,0.6,3.4,1.4,0.08875572850247566
1.0,1.6,2.8,1.2,0.006860535210551728
1.0,1.4,1.8,1.8,0.03848685544427243
1.0,2.0,3.6,1.6,0.05098527457710833
1.0,1.6,2.6,0.8,0.06690503700500225
1.0,1.6,2.0,1.4,0.037263646286459125
1.0,0.6,2.2,1.6,0.08907046752166665
1.0,1.0,2.8,0.4,0.08403415450371335
1.0,2.0,3.8,0.8,0.057166938164028624
1.0,1.0,2.6,0.4,0.08467227693769122
1.0,1.4,3.8,1.2,0.039484209308722214
1.0,1.2,4.0,0.2,0.09875488033513552
1.0,0.8,2.8,0.8,0.08479570339423201
1.0,1.8,2.6,1.2,0.03176195405723346
1.0,0.4,3.0,1.6,0.09478636477092127
1.2,1.4,3.0,1.2,0.07812686251687752
1.2,1.4,2.8,1.4,0.0777693051888527
1.0,0.6,4.0,0.2,0.098247944621342
1.0,1.2,1.4,2.0,0.07218414758288985
1.0,1.0,1.8,0.4,0.09177967971318507
1.0,2.0,3.2,0.8,0.05768642734410093
1.0,1.0,2.6,0.6,0.0822000836905234
1.0,0.4,2.0,0.6,0.09693980319622217
1.0,2.0,2.6,1.8,0.052330418104764416
1.0,2.0,3.0,1.4,0.026710149406055803
1.0,1.8,2.2,2.0,0.05714081293988535
1.0,1.2,3.6,1.4,0.04247444891929076
1.0,1.6,4.0,0.4,0.06887861187495684
1.0,0.8,1.2,1.4,0.08404750696455163
1.0,1.0,3.2,1.8,0.07563506036843368
1.0,1.2,3.0,1.6,0.04273482880504439
1.0,1.0,2.8,0.6,0.08186416650340407
1.0,1.0,1.4,0.8,0.08272450999435715
1.0,2.0,3.6,1.0,0.028245502080137187
