SimulationId,cohesion_degree,average_speed,average_direction
15728.0_1,"[2.05370200689,2.06769437602,2.07519587511,2.0746770289]","[2.1624616564,2.15955451411,2.15696399226,2.15459038894]","[2.16083606577,2.1571906845,2.15345724583,2.14919255043]"
15728.0_2,"[2.21718935222,2.28894962045,2.35458459855,2.41443756342,2.46934470006]","[2.16588611788,2.16357619114,2.16156443244,2.15973715716,2.15806037358]","[2.16558508057,2.16296795033,2.1604380787,2.1577665823,2.1546795654]"
15728.0_3,"[3.0087034564,3.04376692849,3.07371519406,3.09856742023]","[2.16259724701,2.16010566721,2.15807810716,2.15641227134]","[2.16157543088,2.15867361777,2.1560002213,2.15329275326]"
15728.0_4,"[2.20303053878,2.20673332001,2.19852035084,2.17636535294]","[2.16083280878,2.15768177724,2.15482889305,2.15218290641]","[2.15878821889,2.15462932214,2.15017535083,2.14482443087]"
15728.0_5,"[2.49918861857,2.52137128491,2.53744729208,2.54609173877,2.54593391929,2.53536236037]","[2.1614517141,2.15914214675,2.15707400929,2.15518368775,2.15346340587,2.15182173751]","[2.15952358547,2.15647677928,2.1533051531,2.14963277658,2.14480315157,2.13645113364]"
15728.0_6,"[2.35317824572,2.37552032402,2.39175188084,2.40259954948,2.41122483523]","[2.15756153338,2.15464898577,2.15223377865,2.15029661119,2.14884282167]","[2.15530460919,2.1510791753,2.14640066676,2.14003834207,2.1270034676]"
15728.0_7,"[2.87536537118,2.8867744638,2.89376007179,2.89591380012,2.89310901593]","[2.15984069411,2.15763600648,2.15578824388,2.15420388998,2.1527808264]","[2.1569247213,2.153826893,2.15063603011,2.1468833393,2.14120983988]"
15728.0_8,"[2.15683954299,2.19174625706,2.21330469416,2.2189375079,2.20454273936]","[2.16205667464,2.15900592296,2.15629744623,2.15379500009,2.15128523889]","[2.16064376531,2.15668273849,2.15251213698,2.14750136653,2.13969609251]"
15728.0_9,"[2.50850982772,2.53837487791,2.56705806163,2.59391672643,2.61852637495]","[2.15966032467,2.15760839951,2.15591652673,2.15443501996,2.1530475167]","[2.1571174684,2.1543864629,2.15170090674,2.14870061961,2.14455489621]"
15728.0_10,"[2.82659959269,2.85926095087,2.88627757768,2.9075998596]","[2.16258079278,2.16016303526,2.15821167434,2.15664410917]","[2.16087936044,2.15778824825,2.15478555606,2.15143688604]"
