v,re,rep_s,rep_ra,att_s,att_ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,1.0,0.2,1.49454794706,1.00063319287,0.999588929557
1.0,0.2,1.0,0.2,1.2,0.2,1.46749826951,1.00405825902,1.00039185794
1.0,0.2,1.0,0.2,1.4,0.2,1.45536935071,1.01572349232,1.00055271705
1.0,0.2,1.0,0.2,1.5999999999999999,0.2,1.44687434637,1.03420873908,1.00066480913
1.0,0.2,1.0,0.2,1.7999999999999998,0.2,1.44055497016,1.06215958561,1.00077915834
1.0,0.2,1.0,0.2,1.9999999999999998,0.2,1.43708275702,1.10676126281,1.00087635338
1.0,0.2,1.0,0.2,2.1999999999999997,0.2,1.43390553703,1.12839571875,1.00096000406
1.0,0.2,1.0,0.2,2.4,0.2,1.43121818099,1.18161008507,1.0010167324
1.0,0.2,1.0,0.2,2.6,0.2,1.42891445132,1.22750276936,1.00107075295
1.0,0.2,1.0,0.2,2.8000000000000003,0.2,1.42657073899,1.27369231428,1.00112872498
1.0,0.2,1.0,0.2,3.0000000000000004,0.2,1.4243570609,1.32025395607,1.00117109046
1.0,0.2,1.0,0.2,3.2000000000000006,0.2,1.42228375928,1.38488758457,1.00120733352
1.0,0.2,1.0,0.2,3.400000000000001,0.2,1.42053514725,1.42598464225,1.00123249202
1.0,0.2,1.0,0.2,3.600000000000001,0.2,1.41855159615,1.46775238862,1.00124792626
1.0,0.2,1.0,0.2,3.800000000000001,0.2,1.41651044091,1.54506244922,1.00127954481
