r_strength,r_range,a_strength,a_range,c
40,2.0,20,2.8,1.0
40,2.0,20,2.8,1.1
40,2.0,20,2.8,1.2
40,2.0,20,2.8,1.3
40,2.0,20,2.8,1.4
40,2.0,20,2.8,1.5
40,2.0,20,2.8,1.6
40,2.0,20,2.8,1.7
40,2.0,20,2.8,1.8
40,2.0,20,2.8,1.9
40,2.0,20,2.8,2.0
40,2.0,20,2.8,2.1
40,2.0,20,2.8,2.2
40,2.0,20,2.8,2.3
40,2.0,20,2.8,2.4
40,2.0,20,2.8,2.5
40,2.0,20,2.8,2.6
40,2.0,20,2.8,2.7
40,2.0,20,2.8,2.8
40,2.0,20,2.8,2.9
40,2.0,20,2.8,3.0
40,2.0,20,2.8,3.1
40,2.0,20,2.8,3.2
40,2.0,20,2.8,3.3
40,2.0,20,2.8,3.4
40,2.0,20,2.8,3.5
40,2.0,20,2.8,3.6
40,2.0,20,2.8,3.7
40,2.0,20,2.8,3.8
40,2.0,20,2.8,3.9
40,2.0,20,2.8,4.0
40,2.0,20,2.8,4.1
40,2.0,20,2.8,4.2
40,2.0,20,2.8,4.3
40,2.0,20,2.8,4.4
40,2.0,20,2.8,4.5
40,2.0,20,2.8,4.6
40,2.0,20,2.8,4.7
40,2.0,20,2.8,4.8
40,2.0,20,2.8,4.9
40,2.0,20,2.8,5.0
40,2.0,20,2.8,5.1
40,2.0,20,2.8,5.2
40,2.0,20,2.8,5.3
40,2.0,20,2.8,5.4
40,2.0,20,2.8,5.5
40,2.0,20,2.8,5.6
40,2.0,20,2.8,5.7
40,2.0,20,2.8,5.8
40,2.0,20,2.8,5.9
40,2.0,20,2.8,6.0
40,2.0,20,2.8,6.1
40,2.0,20,2.8,6.2
40,2.0,20,2.8,6.3
40,2.0,20,2.8,6.4
40,2.0,20,2.8,6.5
40,2.0,20,2.8,6.6
40,2.0,20,2.8,6.7
40,2.0,20,2.8,6.8
40,2.0,20,2.8,6.9
40,2.0,20,2.8,7.0
40,2.0,20,2.8,7.1
40,2.0,20,2.8,7.2
40,2.0,20,2.8,7.3
40,2.0,20,2.8,7.4
40,2.0,20,2.8,7.5
40,2.0,20,2.8,7.6
40,2.0,20,2.8,7.7
40,2.0,20,2.8,7.8
40,2.0,20,2.8,7.9
40,2.0,20,2.8,8.0
40,2.0,20,2.8,8.1
40,2.0,20,2.8,8.2
40,2.0,20,2.8,8.3
40,2.0,20,2.8,8.4
40,2.0,20,2.8,8.5
40,2.0,20,2.8,8.6
40,2.0,20,2.8,8.7
40,2.0,20,2.8,8.8
40,2.0,20,2.8,8.9
40,2.0,20,2.8,9.0
40,2.0,20,2.8,9.1
40,2.0,20,2.8,9.2
40,2.0,20,2.8,9.3
40,2.0,20,2.8,9.4
40,2.0,20,2.8,9.5
40,2.0,20,2.8,9.6
40,2.0,20,2.8,9.7
40,2.0,20,2.8,9.8
40,2.0,20,2.8,9.9
40,2.0,20,2.8,10.0
40,2.0,20,2.8,10.1
40,2.0,20,2.8,10.2
40,2.0,20,2.8,10.3
40,2.0,20,2.8,10.4
40,2.0,20,2.8,10.5
40,2.0,20,2.8,10.6
40,2.0,20,2.8,10.7
40,2.0,20,2.8,10.8
40,2.0,20,2.8,10.9
40,2.0,20,2.8,11.0
40,2.0,20,2.8,11.1
40,2.0,20,2.8,11.2
40,2.0,20,2.8,11.3
40,2.0,20,2.8,11.4
40,2.0,20,2.8,11.5
40,2.0,20,2.8,11.6
40,2.0,20,2.8,11.7
40,2.0,20,2.8,11.8
40,2.0,20,2.8,11.9
40,2.0,20,2.8,12.0
40,2.0,20,2.8,12.1
40,2.0,20,2.8,12.2
40,2.0,20,2.8,12.3
40,2.0,20,2.8,12.4
40,2.0,20,2.8,12.5
40,2.0,20,2.8,12.6
40,2.0,20,2.8,12.7
40,2.0,20,2.8,12.8
40,2.0,20,2.8,12.9
40,2.0,20,2.8,13.0
40,2.0,20,2.8,13.1
40,2.0,20,2.8,13.2
