SimulationId,cohesion_degree,average_speed,average_direction
9629.0_1,"[0.950031464076,0.925862879936,0.902315936607]","[2.46306948038,2.46087415579,2.45871572214]","[2.46220827339,2.45998433782,2.45747108892]"
9629.0_2,"[0.946288386185,0.931601231503,0.914484266346,0.892227996374]","[2.46327354649,2.46109705639,2.45899504345,2.45651546533]","[2.46305171422,2.46075493565,2.45835367884,2.4550360759]"
9629.0_3,"[1.7867946755,1.72477437626,1.66420099715,1.60484866266]","[2.46535609009,2.46395110623,2.46281362865,2.46177803036]","[2.4645547983,2.46324060117,2.46212916686,2.460953923]"
9629.0_4,"[0.896940494304,0.875802154128,0.856447044008]","[2.46289497109,2.46054105098,2.45798115304]","[2.4619084472,2.45958859809,2.45675760009]"
9629.0_5,"[1.02646934551,0.989293055968,0.959582605994,0.932640600758]","[2.46428594017,2.46221682935,2.46036257914,2.45844120773]","[2.46325491194,2.46139729165,2.459534826,2.45720785179]"
9629.0_6,"[0.964596670396,0.935171346154,0.910461073458]","[2.4637337212,2.46156457456,2.45915663011]","[2.46288959031,2.46056591489,2.45737994575]"
9629.0_7,"[1.49126265234,1.43417252615,1.38517803045,1.34152470343]","[2.46486930155,2.46309601485,2.46165134797,2.46044735534]","[2.46254065711,2.46110058929,2.45986438615,2.45868538234]"
9629.0_8,"[0.936289814544,0.920121029832,0.902192624017,0.878632074138]","[2.46358329716,2.46142614901,2.4593222307,2.45656143222]","[2.4630513083,2.4608370587,2.45848556545,2.45476107223]"
9629.0_9,"[1.45019418248,1.40842394359,1.36904097722,1.33090732864]","[2.46392705235,2.46185871292,2.46003218457,2.45841892914]","[2.46147921685,2.45966381884,2.45802128541,2.45643884956]"
9629.0_10,"[1.51689896268,1.45992351223,1.40840859385,1.1633389567]","[2.46588788634,2.46431183314,2.46305477241,2.46468674692]","[2.46480900957,2.46326264635,2.46188265134,2.46291772168]"
