SimulationId,Naverage,Taverage,Bottleneck
167976_1,2,14,[]
167976_2,2,20,[]
167976_3,2,10,[]
167976_4,2,13,[]
167976_5,2,20,[]
167976_6,2,15,[]
167976_7,2,24,[]
167976_8,2,15,[]
167976_9,2,22,[]
167976_10,2,11,[]
167976_11,2,11,[]
167976_12,2,23,[]
167976_13,2,20,[]
167976_14,2,24,[]
167976_15,2,25,[]
167976_16,2,24,[]
167976_17,2,14,[]
167976_18,2,13,[]
167976_19,2,22,[]
167976_20,2,15,[]
167976_21,2,15,[]
167976_22,2,16,[]
167976_23,2,19,[]
167976_24,2,15,[]
167976_25,2,24,[]
167976_26,2,10,[]
167976_27,2,10,[]
167976_28,2,18,[]
167976_29,2,22,[]
167976_30,2,19,[]
167976_31,2,14,[]
167976_32,2,25,[]
167976_33,2,19,[]
167976_34,2,20,[]
167976_35,2,18,[]
167976_36,2,25,[]
167976_37,2,26,[]
167976_38,2,12,[]
167976_39,2,23,[]
167976_40,2,17,[]
167976_41,2,19,[]
167976_42,2,23,[]
167976_43,2,19,[]
167976_44,2,24,[]
167976_45,2,7,[]
167976_46,2,21,[]
167976_47,2,23,[]
167976_48,2,14,[]
167976_49,2,25,[]
167976_50,2,24,[]
