SimulationId,Naverage,Taverage,Bottleneck
688528_1,2,9,[]
688528_2,2,10,[]
688528_3,2,10,[]
688528_4,2,23,[]
688528_5,2,5,[]
688528_6,2,13,[]
688528_7,2,22,[]
688528_8,2,20,[]
688528_9,2,11,[]
688528_10,2,15,[]
688528_11,2,24,[]
688528_12,2,23,[]
688528_13,2,11,[]
688528_14,2,12,[]
688528_15,2,10,[]
688528_16,2,7,[]
688528_17,2,9,[]
688528_18,2,17,[]
688528_19,2,10,[]
688528_20,2,11,[]
688528_21,2,22,[]
688528_22,2,14,[]
688528_23,2,5,[]
688528_24,2,14,[]
688528_25,2,12,[]
688528_26,2,18,[]
688528_27,2,4,[]
688528_28,2,9,[]
688528_29,2,12,[]
688528_30,2,23,[]
688528_31,2,20,[]
688528_32,2,9,[]
688528_33,2,15,[]
688528_34,2,14,[]
688528_35,2,5,[]
688528_36,2,9,[]
688528_37,2,19,[]
688528_38,2,17,[]
688528_39,2,13,[]
688528_40,2,9,[]
688528_41,2,20,[]
688528_42,2,12,[]
688528_43,2,20,[]
688528_44,2,7,[]
688528_45,2,13,[]
688528_46,2,19,[]
688528_47,2,18,[]
688528_48,2,16,[]
688528_49,2,8,[]
688528_50,2,22,[]
