SimulationId,Naverage,Taverage,Bottleneck
409092_1,2,22,[]
409092_2,2,11,[]
409092_3,2,11,[]
409092_4,2,12,[]
409092_5,2,22,[]
409092_6,2,18,[]
409092_7,2,19,[]
409092_8,2,23,[]
409092_9,2,20,[]
409092_10,2,20,[]
409092_11,2,20,[]
409092_12,2,20,[]
409092_13,2,16,[]
409092_14,2,14,[]
409092_15,2,15,[]
409092_16,2,10,[]
409092_17,2,24,[]
409092_18,2,10,[]
409092_19,2,22,[]
409092_20,2,12,[]
409092_21,2,22,[]
409092_22,2,18,[]
409092_23,2,19,[]
409092_24,2,13,[]
409092_25,2,7,[]
409092_26,2,19,[]
409092_27,2,8,[]
409092_28,2,13,[]
409092_29,2,24,[]
409092_30,2,14,[]
409092_31,2,9,[]
409092_32,2,8,[]
409092_33,2,24,[]
409092_34,2,25,[]
409092_35,2,10,[]
409092_36,2,20,[]
409092_37,2,16,[]
409092_38,2,25,[]
409092_39,2,18,[]
409092_40,2,22,[]
409092_41,2,22,[]
409092_42,2,25,[]
409092_43,2,23,[]
409092_44,2,22,[]
409092_45,2,17,[]
409092_46,2,13,[]
409092_47,2,18,[]
409092_48,2,15,[]
409092_49,2,21,[]
409092_50,2,24,[]
