SimulationId,Naverage,Taverage,Bottleneck
604232_1,2,23,[]
604232_2,2,22,[]
604232_3,2,22,[]
604232_4,2,16,[]
604232_5,2,11,[]
604232_6,2,7,[]
604232_7,2,15,[]
604232_8,2,14,[]
604232_9,2,10,[]
604232_10,2,12,[]
604232_11,2,13,[]
604232_12,2,20,[]
604232_13,2,8,[]
604232_14,2,13,[]
604232_15,2,8,[]
604232_16,2,10,[]
604232_17,2,7,[]
604232_18,2,9,[]
604232_19,2,17,[]
604232_20,2,24,[]
604232_21,2,12,[]
604232_22,2,9,[]
604232_23,2,16,[]
604232_24,2,11,[]
604232_25,2,19,[]
604232_26,2,11,[]
604232_27,2,11,[]
604232_28,2,3,[]
604232_29,2,20,[]
604232_30,2,20,[]
604232_31,2,19,[]
604232_32,2,14,[]
604232_33,2,7,[]
604232_34,2,10,[]
604232_35,2,14,[]
604232_36,2,15,[]
604232_37,2,13,[]
604232_38,2,5,[]
604232_39,2,23,[]
604232_40,2,10,[]
604232_41,2,13,[]
604232_42,2,12,[]
604232_43,2,24,[]
604232_44,2,7,[]
604232_45,2,15,[]
604232_46,2,10,[]
604232_47,2,22,[]
604232_48,2,16,[]
604232_49,2,18,[]
604232_50,2,22,[]
