SimulationId,Naverage,Taverage,Bottleneck
52703_1,2,14,[]
52703_2,2,5,[]
52703_3,2,5,[]
52703_4,2,10,[]
52703_5,2,9,[]
52703_6,2,7,[]
52703_7,2,11,[]
52703_8,2,9,[]
52703_9,2,23,[]
52703_10,2,14,[]
52703_11,2,13,[]
52703_12,2,10,[]
52703_13,2,4,[]
52703_14,2,23,[]
52703_15,2,24,[]
52703_16,2,3,[]
52703_17,2,22,[]
52703_18,2,19,[]
52703_19,2,20,[]
52703_20,2,13,[]
52703_21,2,5,[]
52703_22,2,18,[]
52703_23,2,10,[]
52703_24,2,13,[]
52703_25,2,4,[]
52703_26,2,3,[]
52703_27,2,7,[]
52703_28,2,23,[]
52703_29,2,24,[]
52703_30,2,4,[]
52703_31,2,15,[]
52703_32,2,18,[]
52703_33,2,4,[]
52703_34,2,10,[]
52703_35,2,20,[]
52703_36,2,18,[]
52703_37,2,11,[]
52703_38,2,9,[]
52703_39,2,4,[]
52703_40,2,5,[]
52703_41,2,10,[]
52703_42,2,16,[]
52703_43,2,4,[]
52703_44,2,11,[]
52703_45,2,7,[]
52703_46,2,23,[]
52703_47,2,23,[]
52703_48,2,13,[]
52703_49,2,13,[]
52703_50,2,19,[]
