SimulationId,Ndifference,Naverage,Tdifference,Taverage
625638_1,60,60,80,69
625638_2,60,60,65,66
625638_3,60,60,73,66
625638_4,60,44,68,33
625638_5,60,60,70,77
625638_6,46,60,38,74
625638_7,60,60,73,66
625638_8,60,60,70,62
625638_9,60,60,83,65
625638_10,60,60,62,65
695130_1,60,60,77,66
695130_2,58,60,96,63
695130_3,60,60,72,95
695130_4,60,60,59,81
695130_5,60,60,65,67
695130_6,60,60,82,69
695130_7,60,60,84,61
695130_8,60,60,65,60
695130_9,60,60,64,61
695130_10,60,58,64,55
597706_1,60,60,78,67
597706_2,60,60,75,78
597706_3,60,60,67,63
597706_4,60,60,79,64
597706_5,60,60,66,71
597706_6,60,60,75,69
597706_7,59,60,97,80
597706_8,60,60,69,80
597706_9,60,58,68,80
597706_10,60,60,66,74
474187_1,60,60,70,73
474187_2,60,60,67,66
474187_3,60,60,64,69
474187_4,60,60,61,82
474187_5,60,60,64,91
474187_6,60,60,58,85
474187_7,60,60,68,67
474187_8,60,60,96,73
474187_9,60,59,65,100
474187_10,60,60,68,80
725_1,60,50,99,45
725_2,60,60,62,82
725_3,60,60,85,65
725_4,57,60,99,73
725_5,60,60,64,73
725_6,60,60,63,75
725_7,60,60,69,68
725_8,60,60,74,65
725_9,60,60,67,68
725_10,60,60,92,64
773935_1,60,60,65,62
773935_2,60,60,69,68
773935_3,60,60,78,61
773935_4,60,60,66,64
773935_5,60,60,58,62
773935_6,60,60,63,66
773935_7,60,60,66,73
773935_8,60,60,64,65
773935_9,60,60,87,70
773935_10,60,54,63,65
890794_1,60,58,75,53
890794_2,60,60,64,62
890794_3,60,60,62,58
890794_4,60,60,60,68
890794_5,60,58,82,54
890794_6,60,60,61,62
890794_7,60,60,60,64
890794_8,60,60,60,66
890794_9,60,60,93,62
890794_10,60,60,59,63
453536_1,60,60,87,76
453536_2,59,59,98,100
453536_3,60,60,63,67
453536_4,60,58,66,62
453536_5,60,60,65,69
453536_6,60,60,63,58
453536_7,59,60,99,61
453536_8,60,60,66,64
453536_9,60,60,64,65
453536_10,60,60,64,73
619438_1,60,60,63,62
619438_2,60,60,59,75
619438_3,60,60,60,68
619438_4,60,60,78,66
619438_5,60,60,84,66
619438_6,60,60,83,59
619438_7,57,60,53,66
619438_8,60,60,66,63
619438_9,60,60,61,61
619438_10,60,60,66,67
107773_1,60,58,68,68
107773_2,60,60,90,74
107773_3,60,60,81,62
107773_4,60,60,76,87
107773_5,60,60,65,65
107773_6,60,60,74,93
107773_7,60,60,68,58
107773_8,60,60,61,75
107773_9,60,60,61,67
107773_10,60,58,88,68
