SimulationId,Ndifference,Naverage,Tdifference,Taverage
682833_1,60,60,61,64
682833_2,60,60,77,64
682833_3,60,60,72,76
682833_4,60,60,63,71
682833_5,60,60,63,70
682833_6,60,60,74,67
682833_7,60,60,85,61
682833_8,60,60,63,73
682833_9,60,60,63,62
682833_10,60,60,65,71
948104_1,60,60,69,69
948104_2,60,60,81,61
948104_3,60,60,70,62
948104_4,60,60,63,72
948104_5,60,60,86,66
948104_6,60,60,64,74
948104_7,60,60,65,73
948104_8,51,60,43,69
948104_9,60,60,69,65
948104_10,60,60,59,66
284574_1,60,60,66,66
284574_2,56,60,99,76
284574_3,60,60,72,65
284574_4,60,60,69,63
284574_5,60,60,76,72
284574_6,60,60,69,68
284574_7,60,55,71,49
284574_8,60,60,66,73
284574_9,60,60,65,64
284574_10,60,60,65,69
423974_1,60,60,67,78
423974_2,60,60,58,60
423974_3,60,60,60,82
423974_4,60,60,68,61
423974_5,60,60,69,71
423974_6,60,60,65,64
423974_7,60,60,66,70
423974_8,60,56,63,52
423974_9,60,60,67,58
423974_10,60,58,74,84
719289_1,60,60,63,61
719289_2,60,60,65,66
719289_3,60,60,76,76
719289_4,50,60,100,61
719289_5,60,57,65,58
719289_6,60,60,91,67
719289_7,60,60,82,70
719289_8,60,60,63,90
719289_9,60,60,67,74
719289_10,60,60,74,60
10612_1,60,60,64,78
10612_2,60,60,63,73
10612_3,60,60,57,59
10612_4,58,60,77,73
10612_5,60,60,66,59
10612_6,60,60,68,60
10612_7,60,60,62,63
10612_8,60,60,59,63
10612_9,60,60,71,74
10612_10,60,60,64,71
281235_1,60,60,64,61
281235_2,60,60,64,73
281235_3,60,60,68,66
281235_4,60,60,67,79
281235_5,60,60,66,69
281235_6,60,60,65,61
281235_7,60,60,82,82
281235_8,60,60,66,64
281235_9,60,60,68,65
281235_10,60,60,63,81
904683_1,60,60,67,84
904683_2,60,60,90,66
904683_3,60,60,67,75
904683_4,60,60,59,67
904683_5,60,60,60,60
904683_6,60,60,62,63
904683_7,60,60,69,65
904683_8,58,60,67,64
904683_9,60,60,63,90
904683_10,60,60,66,61
450123_1,60,60,66,61
450123_2,60,60,59,73
450123_3,60,53,67,48
450123_4,60,58,66,69
450123_5,60,60,75,90
450123_6,60,60,66,69
450123_7,60,60,77,63
450123_8,60,60,64,61
450123_9,60,60,66,69
450123_10,60,45,75,35
912964_1,60,60,77,70
912964_2,60,60,70,63
912964_3,60,60,65,73
912964_4,60,60,62,65
912964_5,60,60,69,65
912964_6,60,60,81,66
912964_7,60,57,74,56
912964_8,60,60,66,66
912964_9,60,60,66,62
912964_10,60,60,64,62
