SimulationId,Ndifference,Naverage,Tdifference,Taverage
482961_1,60,60,69,64
482961_2,59,60,97,63
482961_3,60,60,66,78
482961_4,60,60,59,66
482961_5,60,60,64,64
482961_6,60,60,76,62
482961_7,60,60,63,62
482961_8,60,60,64,68
482961_9,60,60,93,72
482961_10,60,60,62,62
856584_1,52,60,44,67
856584_2,60,60,71,65
856584_3,60,60,70,67
856584_4,60,52,65,45
856584_5,60,60,62,92
856584_6,60,60,87,72
856584_7,60,60,93,81
856584_8,60,60,64,66
856584_9,60,60,67,67
856584_10,60,60,69,67
160504_1,60,60,66,65
160504_2,60,55,67,53
160504_3,60,60,59,68
160504_4,60,60,68,71
160504_5,60,60,64,66
160504_6,60,60,81,64
160504_7,60,60,66,64
160504_8,60,60,58,69
160504_9,60,60,68,69
160504_10,60,60,66,67
250904_1,60,60,61,66
250904_2,60,60,88,64
250904_3,60,60,63,67
250904_4,60,60,59,71
250904_5,58,60,64,63
250904_6,60,60,61,63
250904_7,60,60,62,70
250904_8,60,60,62,69
250904_9,60,60,78,64
250904_10,60,60,69,65
134387_1,60,60,62,65
134387_2,60,60,64,73
134387_3,60,60,65,66
134387_4,60,60,77,68
134387_5,60,60,66,65
134387_6,60,60,70,63
134387_7,60,60,65,70
134387_8,60,60,59,67
134387_9,58,60,80,89
134387_10,60,53,72,51
132473_1,60,60,87,77
132473_2,60,60,79,63
132473_3,60,60,77,79
132473_4,60,60,61,72
132473_5,60,60,65,64
132473_6,60,60,62,71
132473_7,60,60,73,74
132473_8,60,60,64,66
132473_9,58,60,56,70
132473_10,60,60,60,66
642309_1,60,60,62,66
642309_2,60,60,79,69
642309_3,60,58,68,99
642309_4,60,60,78,63
642309_5,60,60,70,78
642309_6,60,60,64,79
642309_7,58,60,62,64
642309_8,60,60,71,76
642309_9,56,56,53,76
642309_10,60,60,71,62
668564_1,60,60,63,68
668564_2,60,60,71,65
668564_3,60,60,63,67
668564_4,60,60,63,78
668564_5,56,60,54,63
668564_6,60,60,70,61
668564_7,60,60,60,65
668564_8,60,58,65,62
668564_9,60,60,68,69
668564_10,60,58,59,76
623587_1,60,60,73,63
623587_2,60,60,84,72
623587_3,60,60,62,68
623587_4,60,60,66,66
623587_5,60,60,63,66
623587_6,52,60,85,89
623587_7,60,60,74,65
623587_8,60,60,76,62
623587_9,60,60,59,68
623587_10,60,60,79,69
972707_1,60,60,68,59
972707_2,60,60,74,68
972707_3,60,60,68,81
972707_4,60,60,64,59
972707_5,60,60,67,77
972707_6,60,60,64,62
972707_7,60,53,76,47
972707_8,60,56,63,99
972707_9,60,60,65,67
972707_10,60,60,66,79
