SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
705687_1,70,68,65,70,63,68,70,98,65,71,74,59
705687_2,70,60,70,67,58,67,67,57,83,94,58,59
705687_3,70,67,70,70,67,70,74,91,81,77,83,69
705687_4,70,60,70,70,62,68,75,61,88,79,68,76
705687_5,68,52,65,70,69,68,63,49,84,71,97,62
705687_6,70,69,63,70,66,70,73,100,61,72,93,72
705687_7,68,69,70,70,69,70,78,100,80,74,99,77
705687_8,70,65,70,70,62,70,66,80,84,72,67,74
705687_9,67,69,70,70,70,70,62,87,86,73,98,72
705687_10,67,69,68,70,60,68,66,96,93,85,58,66
705687_11,70,67,70,70,67,70,67,94,80,70,80,68
705687_12,70,69,68,70,64,65,69,88,96,66,78,54
705687_13,70,69,65,68,68,68,73,93,99,67,96,57
705687_14,70,66,70,68,68,70,69,77,81,65,99,68
705687_15,70,70,67,61,69,68,72,98,77,51,96,65
705687_16,70,69,70,70,61,68,67,99,84,79,71,61
705687_17,70,66,70,70,64,68,73,96,84,89,80,64
705687_18,70,66,60,70,61,70,69,78,61,80,57,75
705687_19,70,69,70,70,57,70,75,97,87,78,49,70
705687_20,70,58,68,70,60,70,68,52,82,74,63,76
758655_1,70,65,68,70,64,70,78,74,70,79,64,88
758655_2,70,70,68,70,68,68,73,97,75,78,70,78
758655_3,68,70,70,70,66,68,66,87,87,80,65,88
758655_4,68,70,68,70,70,70,98,92,78,77,82,89
758655_5,70,70,62,70,70,70,77,93,63,86,94,82
758655_6,68,70,68,70,68,70,70,84,88,87,95,82
758655_7,70,61,70,66,67,70,74,63,83,66,87,85
758655_8,70,63,70,70,68,70,74,66,76,75,73,78
758655_9,67,69,68,70,68,68,66,98,73,79,82,75
758655_10,70,67,68,70,65,70,77,81,80,73,68,85
758655_11,67,70,68,62,67,70,62,94,68,56,67,81
758655_12,70,69,64,61,70,70,74,97,99,57,86,83
758655_13,70,67,70,61,67,63,77,80,88,69,79,66
758655_14,70,70,67,67,67,70,71,90,76,68,84,81
758655_15,68,67,68,67,67,70,76,81,97,69,98,86
758655_16,70,67,70,70,70,67,80,86,81,75,96,99
758655_17,68,67,70,65,70,68,73,80,81,67,90,71
758655_18,70,57,68,70,68,68,75,52,71,79,78,90
758655_19,70,63,68,70,70,55,79,71,78,76,89,53
758655_20,70,70,67,70,62,68,74,98,96,81,57,78
185175_1,70,67,68,70,67,68,70,79,98,77,85,74
185175_2,70,69,58,70,64,70,66,89,54,81,80,83
