SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
695860_1,70,70,70,70,68,64,65,69,68,66,75,57
695860_2,70,70,68,70,70,70,70,76,65,65,73,68
695860_3,67,70,70,70,70,70,58,66,62,60,82,79
695860_4,70,70,68,70,70,68,69,73,59,69,83,66
695860_5,70,69,70,70,70,70,69,98,76,86,83,84
695860_6,70,67,68,70,70,68,65,65,67,69,77,63
695860_7,67,70,70,67,70,70,62,76,79,58,77,73
695860_8,67,67,70,70,68,70,77,60,61,65,76,71
695860_9,67,68,70,68,65,60,61,81,65,61,64,53
695860_10,70,70,70,70,70,68,75,71,65,65,76,67
695860_11,67,70,70,68,70,70,58,70,67,55,78,79
695860_12,67,70,70,70,70,70,67,74,68,65,77,62
695860_13,70,67,70,70,70,70,70,64,70,65,77,86
695860_14,70,70,70,70,70,68,72,72,67,66,78,65
695860_15,70,68,70,70,68,70,72,81,68,66,75,71
695860_16,70,70,70,68,70,70,70,73,70,68,77,72
695860_17,70,68,70,70,70,63,66,62,70,91,79,56
695860_18,70,70,70,66,68,68,76,72,75,99,74,76
695860_19,70,70,70,70,70,70,70,69,68,61,80,72
695860_20,67,70,70,70,70,70,62,95,97,73,77,68
291842_1,68,70,70,70,63,70,62,68,66,70,68,76
291842_2,70,70,65,68,68,65,69,72,67,69,91,64
291842_3,70,70,70,70,68,70,67,71,67,73,87,76
291842_4,70,70,70,68,65,63,69,73,69,84,81,57
291842_5,70,70,70,70,68,70,72,74,77,67,78,77
291842_6,70,70,70,70,61,70,67,75,66,63,69,69
291842_7,68,70,70,67,61,59,69,76,69,61,99,56
291842_8,70,70,70,70,68,64,68,69,67,69,87,54
291842_9,70,70,70,68,68,68,96,77,75,64,96,71
291842_10,70,70,70,70,55,70,70,71,79,72,55,74
291842_11,70,70,63,70,68,70,67,73,53,71,91,76
291842_12,70,70,70,70,68,70,68,75,71,77,82,68
291842_13,70,68,70,70,65,70,80,62,69,70,69,79
291842_14,70,68,70,68,64,68,73,74,78,65,68,73
291842_15,70,70,70,70,68,70,64,67,70,67,83,74
291842_16,70,66,53,70,57,68,71,66,43,70,100,66
291842_17,70,70,70,70,68,70,75,83,73,71,96,79
291842_18,70,70,70,70,68,68,62,70,66,81,92,66
291842_19,70,70,65,67,68,70,67,76,98,58,83,69
291842_20,70,70,70,70,68,70,66,73,81,67,91,96
567729_1,68,70,70,70,62,70,65,74,63,68,65,69
567729_2,70,70,70,70,62,70,66,89,71,68,68,73
567729_3,70,70,70,70,68,68,70,66,65,63,79,65
567729_4,70,70,70,70,68,70,67,74,66,76,79,62
567729_5,70,70,70,70,68,68,70,69,63,65,82,59
