SimulationId,Ndifference,Naverage,Tdifference,Taverage
25468_1,70,68,49,84
25468_2,70,68,51,77
25468_3,70,68,51,75
25468_4,70,66,50,77
25468_5,70,67,54,99
25468_6,70,66,52,67
25468_7,70,68,55,87
25468_8,70,67,54,88
25468_9,70,68,48,75
25468_10,70,68,49,84
25468_11,70,69,49,85
25468_12,70,65,52,82
25468_13,70,68,51,71
25468_14,70,66,53,66
25468_15,70,68,57,81
25468_16,70,68,52,76
25468_17,70,68,46,89
25468_18,70,67,55,73
25468_19,70,68,52,79
25468_20,70,68,48,88
332685_1,70,69,54,67
332685_2,70,63,54,59
332685_3,70,67,52,73
332685_4,70,69,53,82
332685_5,70,67,53,75
332685_6,70,59,56,47
332685_7,70,68,60,90
332685_8,70,68,55,68
332685_9,70,67,55,70
332685_10,70,67,50,82
332685_11,70,69,57,92
332685_12,70,68,54,73
332685_13,70,66,54,67
332685_14,70,70,89,78
332685_15,70,66,54,68
332685_16,70,68,58,70
332685_17,70,69,50,74
332685_18,70,68,61,65
332685_19,70,55,55,46
332685_20,70,66,53,99
58926_1,70,70,53,65
58926_2,70,70,53,70
58926_3,70,70,55,64
58926_4,70,69,54,63
58926_5,70,70,54,77
58926_6,70,70,59,71
58926_7,70,67,53,62
58926_8,70,70,52,64
58926_9,70,69,54,63
58926_10,70,70,50,60
58926_11,70,65,52,57
58926_12,70,70,58,71
58926_13,70,70,55,69
58926_14,70,70,51,60
58926_15,70,70,49,72
58926_16,70,64,49,49
58926_17,70,70,51,69
58926_18,70,67,52,57
58926_19,70,63,53,55
58926_20,70,70,51,65
20306_1,70,70,49,99
20306_2,70,70,48,80
20306_3,70,70,50,97
20306_4,70,70,49,66
20306_5,70,70,51,68
20306_6,70,70,50,75
20306_7,70,70,52,71
20306_8,70,70,50,88
20306_9,70,70,52,71
20306_10,70,69,54,69
20306_11,70,70,47,80
20306_12,70,70,54,72
20306_13,70,69,50,63
20306_14,70,70,54,77
20306_15,70,70,53,77
20306_16,70,70,50,68
20306_17,70,70,50,71
20306_18,70,70,49,74
20306_19,70,69,53,68
20306_20,70,69,51,63
319317_1,70,68,54,62
319317_2,70,67,54,52
319317_3,70,68,52,52
319317_4,70,69,58,53
319317_5,70,67,55,56
319317_6,70,67,55,55
319317_7,70,69,51,55
319317_8,70,69,48,55
319317_9,70,69,49,55
319317_10,70,68,54,56
319317_11,70,68,56,55
319317_12,70,67,53,54
319317_13,70,67,53,56
319317_14,70,69,50,52
319317_15,70,67,54,53
319317_16,70,68,57,53
319317_17,68,68,52,54
319317_18,70,68,56,69
319317_19,70,69,52,51
319317_20,70,68,51,58
884845_1,70,69,51,60
884845_2,70,69,51,54
884845_3,70,69,53,52
884845_4,70,68,51,54
884845_5,70,69,56,57
884845_6,70,69,53,53
884845_7,70,69,75,55
884845_8,70,69,52,55
884845_9,70,69,50,63
884845_10,70,69,53,62
884845_11,70,69,52,60
884845_12,70,69,51,62
884845_13,70,67,51,57
884845_14,70,69,56,68
884845_15,70,69,49,59
884845_16,70,68,50,52
884845_17,70,68,48,53
884845_18,70,69,57,60
884845_19,70,69,49,53
884845_20,70,69,49,59
354279_1,70,66,56,64
354279_2,70,68,53,54
354279_3,70,67,49,51
354279_4,70,68,54,61
354279_5,70,67,57,53
354279_6,70,69,58,60
354279_7,70,68,57,74
354279_8,70,68,89,64
354279_9,70,69,48,54
354279_10,70,68,59,57
354279_11,70,69,56,61
354279_12,70,67,57,55
354279_13,70,67,52,54
354279_14,70,68,54,57
354279_15,70,68,58,60
354279_16,70,68,57,54
354279_17,70,66,55,59
354279_18,70,67,58,54
354279_19,70,66,52,56
354279_20,70,67,57,56
733386_1,70,69,52,50
733386_2,70,68,54,52
733386_3,70,68,52,52
733386_4,70,69,60,48
733386_5,70,69,50,53
733386_6,70,69,51,52
733386_7,70,69,48,50
733386_8,70,69,49,49
733386_9,70,68,49,53
733386_10,70,69,51,47
733386_11,70,69,47,50
733386_12,70,70,50,55
733386_13,70,68,49,52
733386_14,70,69,51,46
733386_15,70,68,53,49
733386_16,70,69,51,53
733386_17,70,68,52,48
733386_18,70,70,48,46
733386_19,70,58,52,100
733386_20,70,68,50,48
729756_1,70,68,51,53
729756_2,70,69,54,88
729756_3,70,70,53,75
729756_4,70,70,54,68
729756_5,70,69,55,67
729756_6,70,70,56,90
729756_7,70,70,55,87
729756_8,70,68,49,54
729756_9,70,70,54,81
729756_10,70,64,54,99
729756_11,70,70,58,88
729756_12,70,70,54,78
729756_13,70,70,51,85
729756_14,70,70,55,75
729756_15,70,70,56,79
729756_16,70,69,50,77
729756_17,70,69,49,88
729756_18,70,70,56,90
729756_19,70,70,54,83
729756_20,70,69,51,81
266504_1,70,68,51,60
266504_2,70,67,50,61
266504_3,70,68,54,58
266504_4,70,67,57,61
266504_5,70,68,50,64
266504_6,70,65,53,49
266504_7,70,67,49,66
266504_8,70,67,53,59
266504_9,70,68,53,57
266504_10,70,68,53,59
266504_11,70,67,53,59
266504_12,70,68,53,81
266504_13,70,67,55,64
266504_14,70,68,49,99
266504_15,70,66,53,56
266504_16,70,68,54,61
266504_17,70,64,57,99
266504_18,70,67,53,61
266504_19,70,67,56,62
266504_20,70,67,52,61
