SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
363072_1,70,70,68,70,65,70,72,90,69,71,87,77
363072_2,70,68,70,70,68,70,75,76,75,75,87,67
363072_3,70,70,69,70,61,70,71,96,97,73,60,75
363072_4,70,68,70,70,65,70,74,90,83,79,75,78
363072_5,70,63,65,68,66,70,72,57,58,71,78,72
363072_6,70,67,70,68,64,70,70,87,78,63,73,77
363072_7,70,66,70,68,61,70,72,64,74,68,61,69
363072_8,70,59,70,70,68,70,80,49,83,73,80,92
363072_9,63,69,68,60,68,70,64,93,73,100,95,73
363072_10,70,70,70,70,67,70,71,85,84,70,90,73
363072_11,70,70,70,70,68,70,73,88,82,75,83,75
363072_12,70,68,68,70,65,70,70,71,62,79,69,74
363072_13,68,66,70,70,67,70,63,77,84,76,77,71
363072_14,70,70,70,70,68,70,73,90,70,70,87,76
