SimulationId,Ndifference,Naverage,Tdifference,Taverage
150257_1,70,67,76,77
150257_2,70,70,77,94
150257_3,68,66,79,73
150257_4,70,60,73,61
150257_5,70,68,75,94
150257_6,70,67,79,92
150257_7,70,66,72,68
150257_8,70,69,77,85
150257_9,68,67,65,73
150257_10,70,66,68,69
150257_11,68,69,67,93
150257_12,68,69,76,98
150257_13,70,52,77,45
150257_14,70,68,72,96
150257_15,70,68,72,100
150257_16,70,68,84,97
150257_17,66,67,64,97
150257_18,68,68,67,80
150257_19,68,70,65,99
150257_20,70,69,73,87
574340_1,68,68,80,87
574340_2,70,69,72,95
574340_3,70,67,76,88
574340_4,70,62,72,97
574340_5,70,68,80,82
574340_6,70,67,92,91
574340_7,70,67,96,98
574340_8,70,64,78,78
574340_9,68,66,66,99
574340_10,68,68,66,71
574340_11,70,66,75,95
574340_12,68,68,75,89
574340_13,70,64,76,100
574340_14,70,65,78,81
574340_15,70,69,73,89
574340_16,68,66,74,91
574340_17,61,70,58,94
574340_18,68,69,68,95
574340_19,70,67,70,93
574340_20,70,67,75,85
944359_1,70,66,78,84
944359_2,70,52,76,51
944359_3,68,69,67,89
944359_4,70,57,74,59
944359_5,70,70,74,93
944359_6,70,66,75,98
944359_7,70,53,79,77
944359_8,70,63,71,66
944359_9,68,69,65,95
944359_10,70,69,77,97
944359_11,70,68,72,95
944359_12,68,67,64,82
944359_13,68,65,76,99
944359_14,63,67,70,100
944359_15,70,69,71,99
944359_16,68,67,73,84
944359_17,70,63,72,68
944359_18,70,66,78,77
944359_19,70,67,74,81
944359_20,70,66,73,83
527190_1,70,67,73,98
527190_2,68,68,70,88
527190_3,70,67,98,94
527190_4,70,64,81,71
527190_5,68,66,75,98
527190_6,70,61,74,56
527190_7,68,62,70,98
527190_8,70,68,76,98
527190_9,68,61,94,55
527190_10,70,61,77,95
527190_11,68,65,69,81
527190_12,60,68,57,91
527190_13,70,67,78,91
527190_14,70,69,79,92
527190_15,70,65,75,82
527190_16,70,63,77,99
527190_17,70,68,82,96
527190_18,70,67,72,88
527190_19,62,67,63,77
527190_20,70,65,73,97
125921_1,70,69,74,78
125921_2,70,69,72,92
125921_3,68,69,73,77
125921_4,70,63,71,56
125921_5,70,66,75,66
125921_6,70,68,67,79
125921_7,67,68,68,83
125921_8,70,69,73,80
125921_9,70,61,76,61
125921_10,70,69,72,81
125921_11,70,62,76,60
125921_12,68,69,68,87
125921_13,67,69,71,80
125921_14,70,68,76,76
125921_15,70,68,78,86
125921_16,70,69,74,74
125921_17,70,69,74,75
125921_18,70,68,76,79
125921_19,70,63,71,63
125921_20,70,69,78,82
1482_1,70,69,73,71
1482_2,70,69,77,89
1482_3,68,69,63,75
1482_4,68,69,68,75
1482_5,63,70,56,76
1482_6,70,69,82,81
1482_7,70,67,74,74
1482_8,70,63,72,56
1482_9,68,69,63,74
1482_10,70,69,74,93
1482_11,70,69,70,77
1482_12,70,69,68,73
1482_13,70,66,74,66
1482_14,70,70,75,73
1482_15,70,69,71,74
1482_16,68,66,66,61
1482_17,70,69,90,80
1482_18,70,69,76,74
1482_19,68,67,67,80
1482_20,70,67,72,68
814846_1,70,69,75,85
814846_2,70,69,81,80
814846_3,70,64,74,80
814846_4,70,64,73,70
814846_5,68,68,77,98
814846_6,70,58,76,52
814846_7,70,64,73,63
814846_8,70,69,71,83
814846_9,69,67,100,78
814846_10,70,67,72,71
814846_11,70,67,79,81
814846_12,68,69,69,84
814846_13,70,64,80,74
814846_14,68,69,66,77
814846_15,68,69,68,88
814846_16,70,53,72,47
814846_17,68,69,69,82
814846_18,70,67,74,74
814846_19,68,67,98,83
814846_20,70,69,70,81
195247_1,70,67,73,86
195247_2,68,67,71,92
195247_3,67,68,76,98
195247_4,70,64,71,100
195247_5,68,66,73,84
195247_6,63,61,61,99
195247_7,70,65,75,89
195247_8,70,67,74,91
195247_9,70,54,78,53
195247_10,70,67,75,97
195247_11,70,67,77,86
195247_12,68,65,79,87
195247_13,68,63,64,93
195247_14,68,61,71,85
195247_15,70,66,76,100
195247_16,68,61,71,63
195247_17,70,67,82,97
195247_18,70,66,76,100
195247_19,70,60,77,100
195247_20,67,67,66,96
835902_1,70,66,75,97
835902_2,70,64,73,82
835902_3,70,67,70,93
835902_4,68,63,67,94
835902_5,68,66,67,88
835902_6,70,63,70,85
835902_7,70,67,69,100
835902_8,67,68,99,94
835902_9,70,66,71,90
835902_10,70,69,70,91
835902_11,70,68,70,97
835902_12,70,69,70,99
835902_13,70,67,82,98
835902_14,68,64,79,95
835902_15,67,52,64,46
835902_16,67,68,62,93
835902_17,70,58,70,74
835902_18,70,57,73,56
835902_19,70,62,71,65
835902_20,70,64,72,80
135919_1,70,70,65,83
135919_2,68,70,65,94
135919_3,70,68,70,79
135919_4,70,64,73,98
135919_5,70,69,73,99
135919_6,70,70,75,86
135919_7,70,62,76,100
135919_8,70,56,68,97
135919_9,70,70,74,83
135919_10,68,51,69,55
135919_11,70,68,75,78
135919_12,70,70,69,79
135919_13,65,62,66,67
135919_14,70,55,74,44
135919_15,70,70,77,86
135919_16,70,62,91,100
135919_17,70,68,74,73
135919_18,70,69,75,97
135919_19,68,70,66,82
135919_20,70,70,74,90
