SimulationId,Ndifference,Naverage,Tdifference,Taverage
619824_1,70,68,73,96
619824_2,70,70,71,86
619824_3,70,68,96,73
619824_4,70,70,78,97
619824_5,70,64,81,70
619824_6,70,44,76,45
619824_7,70,70,76,85
619824_8,70,68,75,86
619824_9,70,68,82,78
619824_10,68,68,70,78
619824_11,70,66,75,74
619824_12,68,70,67,88
619824_13,70,70,77,85
619824_14,66,55,74,53
619824_15,70,70,77,84
619824_16,70,70,82,78
619824_17,70,67,70,99
619824_18,70,57,83,65
619824_19,70,70,76,84
619824_20,70,68,75,82
720317_1,70,68,75,71
720317_2,70,70,79,75
720317_3,70,63,74,61
720317_4,70,70,72,81
720317_5,68,70,66,83
720317_6,70,57,77,52
720317_7,70,70,76,84
720317_8,70,61,77,58
720317_9,70,68,76,87
720317_10,70,70,78,80
720317_11,70,65,70,68
720317_12,70,70,77,92
720317_13,63,68,88,84
720317_14,68,63,66,58
720317_15,70,68,73,73
720317_16,70,67,75,75
720317_17,70,55,72,48
720317_18,70,70,75,96
720317_19,68,70,69,88
720317_20,70,67,82,74
893308_1,70,68,75,68
893308_2,68,70,66,67
893308_3,70,70,76,90
893308_4,70,68,79,66
893308_5,70,63,74,54
893308_6,70,70,74,73
893308_7,70,70,71,70
893308_8,70,68,74,65
893308_9,70,65,81,55
893308_10,70,68,78,67
893308_11,70,70,77,73
893308_12,70,65,75,60
893308_13,70,70,75,73
893308_14,70,64,83,61
893308_15,70,70,79,78
893308_16,70,68,77,61
893308_17,68,68,67,68
893308_18,70,68,73,66
893308_19,70,70,76,79
893308_20,68,70,73,81
93402_1,70,65,80,76
93402_2,70,70,71,97
93402_3,70,67,75,97
93402_4,68,70,74,86
93402_5,70,59,84,61
93402_6,70,70,72,85
93402_7,70,70,81,93
93402_8,68,62,68,65
93402_9,70,59,76,63
93402_10,68,70,75,93
93402_11,70,52,78,100
93402_12,70,70,75,98
93402_13,70,70,78,91
93402_14,70,70,73,95
93402_15,70,48,74,79
93402_16,70,70,73,83
93402_17,70,70,69,96
93402_18,70,70,71,92
93402_19,70,66,76,75
93402_20,70,68,74,80
301923_1,63,70,61,72
301923_2,66,70,99,69
301923_3,70,70,70,80
301923_4,70,70,74,69
301923_5,70,70,73,97
301923_6,70,67,73,55
301923_7,70,70,73,84
301923_8,70,70,70,68
301923_9,68,70,68,79
301923_10,70,70,71,72
301923_11,68,70,63,64
301923_12,70,70,73,66
301923_13,68,70,69,65
301923_14,70,67,82,61
301923_15,70,70,79,66
301923_16,70,64,68,53
301923_17,70,65,80,56
301923_18,70,70,74,68
301923_19,70,70,72,65
301923_20,70,70,76,73
640998_1,70,62,81,61
640998_2,68,61,70,62
640998_3,68,67,73,76
640998_4,70,53,75,42
640998_5,65,61,70,68
640998_6,70,67,79,82
640998_7,70,65,84,100
640998_8,70,68,74,99
640998_9,68,68,66,83
640998_10,70,64,78,64
640998_11,68,66,77,95
640998_12,70,68,73,93
640998_13,68,62,77,61
640998_14,70,61,78,98
640998_15,63,67,62,77
640998_16,68,68,93,80
640998_17,70,68,79,81
640998_18,70,61,76,55
640998_19,68,63,70,59
640998_20,68,68,75,82
978112_1,70,60,69,51
978112_2,70,70,81,75
978112_3,70,70,72,80
978112_4,70,63,81,60
978112_5,68,70,65,80
978112_6,68,70,65,77
978112_7,68,68,69,77
978112_8,70,70,78,76
978112_9,70,70,79,84
978112_10,70,70,75,85
978112_11,70,70,69,97
978112_12,68,70,63,82
978112_13,70,70,71,87
978112_14,70,70,74,76
978112_15,70,63,79,57
978112_16,63,70,58,82
978112_17,70,70,70,84
978112_18,70,70,76,81
978112_19,68,70,68,89
978112_20,70,65,71,64
198600_1,70,68,71,78
198600_2,70,68,70,84
198600_3,70,68,81,88
198600_4,70,68,69,79
198600_5,70,70,71,91
198600_6,70,68,74,86
198600_7,70,67,73,66
198600_8,70,62,72,99
198600_9,70,67,72,87
198600_10,70,70,82,84
198600_11,70,62,75,64
198600_12,70,70,82,87
198600_13,70,68,70,83
198600_14,70,68,74,96
198600_15,70,65,76,63
198600_16,70,70,74,95
198600_17,70,70,74,82
198600_18,70,67,73,80
198600_19,70,67,73,82
198600_20,70,70,72,92
966843_1,70,64,71,98
966843_2,70,63,78,60
966843_3,70,70,71,79
966843_4,70,68,72,77
966843_5,70,68,73,79
966843_6,70,70,74,91
966843_7,70,68,80,84
966843_8,70,37,79,31
966843_9,70,70,79,89
966843_10,68,68,65,90
966843_11,70,68,80,78
966843_12,70,70,75,93
966843_13,70,68,76,74
966843_14,70,68,76,85
966843_15,68,68,77,76
966843_16,70,70,75,84
966843_17,70,70,90,96
966843_18,70,70,73,80
966843_19,70,70,68,84
966843_20,70,68,78,83
888633_1,70,64,75,69
888633_2,57,70,54,94
888633_3,68,64,74,92
888633_4,70,62,74,63
888633_5,70,65,78,70
888633_6,70,61,75,60
888633_7,70,65,78,65
888633_8,70,65,82,81
888633_9,70,63,79,84
888633_10,70,68,76,76
888633_11,70,64,74,78
888633_12,70,67,82,79
888633_13,63,70,55,96
888633_14,70,67,75,99
888633_15,70,70,67,93
888633_16,70,69,78,98
888633_17,70,68,73,96
888633_18,70,61,73,61
888633_19,70,70,74,91
888633_20,70,70,71,91
