SimulationId,Naverage,Taverage
150257_3,66,73
150257_7,66,68
150257_10,66,69
574340_14,65,81
527190_15,65,82
527190_20,65,97
195247_7,65,89
195247_12,65,87
574340_8,64,78
814846_3,64,80
814846_4,64,70
814846_7,64,63
814846_13,64,74
835902_2,64,82
835902_20,64,80
125921_4,63,56
125921_19,63,63
1482_8,63,56
195247_13,63,93
125921_11,62,60
835902_19,62,65
135919_13,62,67
527190_6,61,56
527190_9,61,55
125921_9,61,61
195247_14,61,85
195247_16,61,63
150257_4,60,61
814846_6,58,52
135919_8,56,97
135919_14,55,44
195247_9,54,53
814846_16,53,47
150257_13,52,45
944359_2,52,51
835902_15,52,46
135919_10,51,55
