SimulationId,Naverage,Taverage
619824_11,66,74
93402_19,66,75
720317_11,65,68
893308_9,65,55
893308_12,65,60
93402_1,65,76
301923_17,65,56
978112_20,65,64
198600_15,65,63
888633_5,65,70
888633_7,65,65
888633_8,65,81
619824_5,64,70
893308_14,64,61
301923_16,64,53
640998_10,64,64
888633_1,64,69
888633_3,64,92
720317_3,63,61
720317_14,63,58
893308_5,63,54
640998_19,63,59
978112_4,63,60
978112_15,63,57
966843_2,63,60
888633_9,63,84
93402_8,62,65
640998_1,62,61
640998_13,62,61
198600_11,62,64
888633_4,62,63
720317_8,61,58
640998_2,61,62
640998_5,61,68
640998_18,61,55
888633_6,61,60
888633_18,61,61
978112_1,60,51
93402_5,59,61
93402_9,59,63
619824_18,57,65
720317_6,57,52
619824_14,55,53
720317_17,55,48
640998_4,53,42
619824_6,44,45
93402_15,48,79
966843_8,37,31
