SimulationId,cohesion_degree
2.9_0.5_2.7_1.5_1,"[2.4708883537754742,2.4672545796493615,2.463613299665537,2.4599645515002324,2.456308374309006,2.452644808777919,2.448973897175049,2.445295683402395,2.441610213048103,2.437917533439047,2.4342176936937423,2.4305107447755283,2.426796739546064,2.4230757328190244,2.419347781414027,2.415612944210696,2.4118712822028177,2.4081228585525936,2.4043677386448103,2.4006059901409547,2.396837683033162,2.393062889697881,2.3892816849491973,2.3854941460917023,2.3817003529727727,2.377900388034174,2.3740943363628015,2.3702822857404846,2.3664643266926504,2.362640552535684,2.3588110594228278,2.354975946388449,2.351135315390428,2.3472892713505003,2.343437922192318,2.3395813788769724,2.3357197554357687,2.331853168999975,2.3279817398272695,2.324105591324602]"
2.9_0.5_2.7_1.5_2,"[2.5011528313384024,2.4967210775664386,2.4922737631131398,2.4878108035020925,2.4833321138467794,2.478837608848422,2.474327202793534,2.469800809551199,2.465258342570013,2.460699714874701,2.4561248390623387,2.451533627298196,2.4469259913111365,2.4423018423885643,2.4376610913708734,2.433003648645359,2.428329424139576,2.423638327314085,2.4189302671545603,2.4142051521632033,2.4094628903494253,2.404703389219768,2.3999265557669878,2.395132296458267,2.390320517222502,2.3854911234366227,2.380644019910855,2.375779110872915,2.370896299951032,2.3659954901557656,2.361076583860542,2.3561394827808413,2.3511840879519776,2.3462102997053877,2.3412180176433632,2.3362071406121627,2.3311775666733965,2.3261291930736516,2.3210619162122232,2.3159756316069235]"
2.9_0.5_2.7_1.5_3,"[2.4064123042495993,2.401865379705787,2.397304493180159,2.39272959892072,2.388140653599116,2.383537616530635,2.3789204499020364,2.374289119007069,2.369643592489542,2.3649838425937704,2.360309845422244,2.3556215812002193,2.350919034547072,2.3462021947540586,2.3414710560681917,2.336725617981883,2.3319658855279206,2.3271918695793836,2.322403587153987,2.3176010617223146,2.3127843235193764,2.307953409858829,2.30310836544918,2.2982492427111354,2.2933761020953845,2.2884890123997597,2.2835880510848905,2.278673304587259,2.273744868628429,2.2688028485192984,2.2638473594579454,2.2588785268196654,2.2538964864376134,2.2489013848724158,2.2438933796689304,2.2388726395983527,2.2338393448835605,2.228793687405632,2.223735870889336,2.218666111065142]"
2.9_0.5_2.7_1.5_4,"[2.2938787488619465,2.288972312518265,2.2840460069891995,2.2790996945058906,2.2741332352723704,2.269146487391871,2.2641393067906477,2.25911154713926,2.2540630597713442,2.248993693599889,2.24390329503103,2.2387917078753823,2.2336587732569755,2.2285043295198275,2.223328212132201,2.218130253588643,2.2129102833098626,2.207668127540573,2.20240360924535,2.19711654800268,2.191806759897298,2.1864740574109387,2.1811182493117074,2.1757391405421656,2.170336532106374,2.164910220956032,2.1594599998759407,2.1539856573689784,2.148486977540821,2.142963739984631,2.1374157196659582,2.1318426868080844,2.126244406778068,2.120620639973729,2.1149711417118793,2.1092956621179972,2.1035939460176616,2.097865732829976,2.092110756463251,2.0863287452132253]"
2.9_0.5_2.7_1.5_5,"[2.274329855312174,2.2694661204782545,2.264587123195319,2.259692893909965,2.2547834709569208,2.2498589008812457,2.244919238775277,2.2399645486306463,2.23499490370551,2.2300103869072,2.2250110911902703,2.2199971199698365,2.2149685875500156,2.209925619566998,2.2048683534461735,2.199796938872494,2.1947115382729225,2.189612327309597,2.184499495381968,2.1793732461357367,2.1742337979759956,2.169081384581548,2.163916255416646,2.1587386762359464,2.1535489295777053,2.148347315239433,2.1431341507295145,2.1379097716872923,2.132674532263248,2.127428805449813,2.122172983352356,2.1169074773887253,2.111632718404689,2.1063491566914334,2.1010572618902446,2.0957575227685856,2.09045044685074,2.085136559885747,2.079816405134666,2.0744905424592406]"
2.9_0.5_2.7_1.5_6,"[2.798124962064137,2.7952136252583655,2.7922964705647884,2.7893735086775058,2.7864447513957424,2.78351021167952,2.7805699037081753,2.777623842941876,2.7746720461862204,2.771714531660104,2.768751319066948,2.7657824296694606,2.76280788636807,2.759827713783165,2.7568419383413088,2.753850588365567,2.7508536941701203,2.7478512881592843,2.744843404931145,2.741830081385919,2.7388113568392183,2.7357872731403825,2.7327578747960066,2.729723209098849,2.726683326262216,2.72363827956003,2.720588125472662,2.7175329238386476,2.714472738012469,2.7114076350284155,2.7083376857706725,2.7052629651496862,2.7021835522848594,2.6990995306935965,2.696010988486708,2.6929180185701513,2.689820718853043,2.6867191924618448,2.6836135479605945,2.680503899576977]"
2.9_0.5_2.7_1.5_7,"[2.0450609864728553,2.03925447637595,2.0334425435392474,2.0276255443933957,2.021803840966058,2.0159778004239857,2.0101477945583266,2.0043141992112923,1.9984773936425568,1.992637759834174,1.986795681733134,1.9809515444311798,1.9751057332819912,1.9692586329563277,1.9634106264363154,1.9575620939506755,1.9517134118533286,1.94586495144839,1.9400170777653778,1.9341701482889673,1.9283245116484302,1.922480506272498,1.9166384590160148,1.910798683765409,1.9049614800305001,1.8991271315306988,1.8932959047840676,1.887468047708087,1.8816437882411612,1.875823332994138,1.8700068659410882,1.8641945471585384,1.8583865116221794,1.8525828680697334,1.8467836979382217,1.8409890543833218,1.8351989613878394,1.8294134129655297,1.8236323724656252,1.8178557719825175]"
2.9_0.5_2.7_1.5_8,"[2.327406266022206,2.3223615773707507,2.317295208732432,2.3122070455052426,2.307096974871321,2.3019648859330295,2.2968106698540858,2.2916342200058137,2.286435432118587,2.281214204438511,2.2759704378893786,2.270704036239933,2.26541490627645,2.2601029579806156,2.254768104712727,2.249410263400111,2.244029354730752,2.238625303351983,2.233198038074203,2.227747492079402,2.222273603134366,2.2167763138083485,2.2112555716949687,2.205711329638055,2.2001435459611125,2.1945521847000724,2.1889372158388922,2.1832986155475878,2.177636366422167,2.1719504577259174,2.166240885631448,2.1605076534628274,2.1547507719370533,2.148970259404143,2.1431661420849286,2.1373384543057177,2.1314872387287793,2.1256125465777154,2.119714437856584,2.1137929815616054]"
2.9_0.5_2.7_1.5_9,"[2.518302543460039,2.5140434127511933,2.509771095847316,2.5054855581124906,2.5011867657440776,2.4968746858112754,2.492549286295246,2.4882105361308833,2.483858405250305,2.4794928646281424,2.4751138863287365,2.470721443555307,2.4663155107012034,2.461896063403337,2.4574630785978933,2.4530165345784454,2.448556411056539,2.4440826892249623,2.439595351823696,2.4350943832087784,2.430579769424159,2.4260514982767054,2.421509559414466,2.416953944408397,2.412384646837637,2.407801662378534,2.403204988897521,2.3985946265481006,2.393970577871971,2.3893328479045657,2.3846814442851203,2.380016377371434,2.375337660359509,2.3706453094082276,2.3659393437691967,2.361219785921965,2.356486661714735,2.3517400005107105,2.346979835340219,2.3422062030587387]"
2.9_0.5_2.7_1.5_10,"[2.184323049354269,2.1805126789368527,2.176700030316274,2.1728850301030542,2.1690675971816864,2.165247642846839,2.1614250709597402,2.1575997781234557,2.1537716538756113,2.1499405808970655,2.1461064352348305,2.1422690865375564,2.1384283983018064,2.1345842281272702,2.130736427979124,2.126884844455663,2.123029319059418,2.1191696884699707,2.1153057848167545,2.1114374359501937,2.107564465709599,2.1036866941864076,2.0998039379813442,2.095916010454332,2.092022721965995,2.088123880109785,2.0842192899338903,2.080308754152168,2.076392073343566,2.0724690461395276,2.0685394693990515,2.064603138371227,2.060659846845101,2.0567093872869355,2.0527515509648944,2.0487861280614488,2.0448129077737165,2.0408316784021276,2.036842227427834,2.0328443415793527]"
