SimulationId,cohesion_degree
1.3_0.6_2.8_0.4_0.6_0.7_1,"[2.35069011832526,2.3283687086033047,2.3053537843235032,2.281833004734693,2.2579880723366834,2.233973925531383,2.209915350351892,2.1859041965951866,2.1619995935438547,2.1382390427766085,2.1146501095354098,2.091264943168924,2.0681383994816835,2.045364089469044,2.023083342050078,2.00148710250427,1.9808087983066733,1.961306028089488,1.9432302762504112,1.9267882256370985,1.9121046329781932,1.8992004116416894,1.8879952991212618,1.8783296049206697,1.8699906553252361,1.8627708949216395,1.856485261470554,1.8509752268626982,1.8461094802036393,1.8417810583425365,1.8379028099598476,1.8344028044946588,1.831220575665072,1.828304456041258,1.8256098757364814,1.8230983439556554,1.8207368216179514,1.8184972545920228,1.816356124842573,1.814293960455958]"
1.3_0.6_2.8_0.4_0.6_0.7_2,"[2.0745590347746115,2.051902903477253,2.028694751888898,2.0054855843876696,1.9827106284157021,1.9606872380336273,1.9396244005042906,1.9196402139911228,1.9007834976751135,1.8830547888288425,1.8664238659176307,1.85084330529016,1.8362587245263806,1.8226164255927082,1.8098695881666562,1.797983839340592,1.7869323471560503,1.776695041623226,1.767256831271877,1.7586035236601618,1.7507169901103343,1.7435711980015196,1.737130615441109,1.7313515961352448,1.7261868165604042,1.7215901729109846,1.717516015416161,1.7139213390508163,1.7107658455692802,1.7080106465320732,1.705617225627942,1.7035472435166965,1.7017630536321586,1.700228523901099,1.6989098188707992,1.6977759740562857,1.6967992302241608,1.6959551520614373,1.6952225680783535,1.6945833723702826]"
1.3_0.6_2.8_0.4_0.6_0.7_3,"[1.9571839148948058,1.9428739317878398,1.929584030055116,1.9172558473152783,1.9058352577537676,1.8952648876322662,1.885480801405545,1.8764091856662533,1.8679710423572184,1.860091979773356,1.8526979578729132,1.845717699227262,1.8390860351534983,1.8327461955911368,1.8266514201683848,1.8207660073642835,1.8150657122753144,1.8095373537234487,1.804177523894341,1.7989903770141027,1.793984618477662,1.7891700095020586,1.7845538798714025,1.7801382115133415,1.775917758555688,1.771879424894576,1.7680028270149304,1.7642617495798796,1.7606254859122914,1.7570589438362183,1.753529677612383,1.75000978956474,1.7464770644958663,1.7429169424637745,1.7393247707983839,1.735707966061869,1.7320876999277233,1.7284997164486344,1.7249912594997199,1.7216178023675355]"
1.3_0.6_2.8_0.4_0.6_0.7_4,"[2.0293559312376157,2.0233627187681082,2.017002795509942,2.0102280003852018,2.003018030180827,1.995374485610179,1.987321277766312,1.9789044247183625,1.9701898403959723,1.9612597204836457,1.952200673094453,1.9430978694049557,1.9340412661030606,1.925109136707683,1.9163566687059521,1.9078100312466417,1.8994659242167042,1.8912962728430718,1.8832570251868603,1.8753066599241528,1.8674105451869019,1.8595403471734202,1.8516857675956282,1.8438589522871756,1.8360937767753491,1.8284409910637165,1.8209602579753603,1.81371098041852,1.8067443914636947,1.8000989990153407,1.7938001684226825,1.7878630993899578,1.782297460137244,1.7771117361472606,1.7723157346398128,1.7679203906798395,1.7639349248414617,1.7603624036388705,1.7571955286316492,1.7544145262453756]"
1.3_0.6_2.8_0.4_0.6_0.7_5,"[1.9168133344517648,1.9063630274937835,1.8973776886538043,1.8896250356586262,1.8828911619532565,1.8769887751362098,1.8717596129694307,1.8670731337324675,1.8628233537484529,1.8589251787555916,1.8553109406640593,1.851927372232387,1.8487330848899304,1.8457000447916811,1.842799820854126,1.8400073851129999,1.8373079752454469,1.8346923885978577,1.8321549192766948,1.8296921025168296,1.8273018289601424,1.8249827522959339,1.822733908384789,1.820554466467107,1.8184435632241012,1.8164001967817172,1.8144231692630974,1.812511068550767,1.8106622795436649,1.8088750155022886,1.8071473612995042,1.8054773219748061,1.8038628715403153,1.802301998376573,1.8007927447611707,1.7993332390851104,1.797921720128975,1.7965565533974395,1.7952362399633686,1.7939594185758776]"
1.3_0.6_2.8_0.4_0.6_0.7_6,"[2.1726439324704345,2.1461231668763765,2.1198540862933135,2.093892969083594,2.068331954805426,2.043317361214681,2.0190487468338003,1.9957520680417453,1.9736119242430585,1.9527605414847546,1.9332817080316544,1.9151916139981104,1.8984693617817385,1.883089401995392,1.8690348613779437,1.8562939515243333,1.8448488319299226,1.8346657151783154,1.8256903783632477,1.817849026068957,1.811052511347985,1.8052018934972132,1.800194013952194,1.7959263854641692,1.7923010418299188,1.7892272164895924,1.7866229022035998,1.7844154808512098,1.7825416716397782,1.7809470342463225,1.7795852150895572,1.778417071775909,1.7774097674570786,1.7765358949116525,1.7757726667056837,1.7751011903773914,1.774505835064361,1.7739736876629397,1.7734940917162092,1.7730582598779256]"
1.3_0.6_2.8_0.4_0.6_0.7_7,"[2.408201950988775,2.3889092242524983,2.3687514340173803,2.347778270912734,2.3260367143544975,2.3035976663792592,2.280559729387503,2.257041444020757,2.233188399394418,2.2091775549228885,2.1852068121212516,2.161500879214244,2.138289500240009,2.115776210582866,2.094115742248915,2.0734043310267296,2.053683705663517,2.0349537608363137,2.0171866674362056,2.000337405656502,1.9843496317566067,1.9691584982374195,1.9546926953921229,1.940877296212113,1.9276379312651826,1.9149059568337168,1.902623797206876,1.8907495327142894,1.8792599640572871,1.8681516722167142,1.8574399015569292,1.8471553726422987,1.8373393776413391,1.8280377302926678,1.819294322256559,1.8111451433636625,1.8036136014101571,1.7967077748142621,1.7904198454459759,1.784727489709492]"
1.3_0.6_2.8_0.4_0.6_0.7_8,"[1.9034805467119853,1.8944564192777762,1.8861453424361518,1.8784190770715838,1.871163119666593,1.8642542853736077,1.857584584346516,1.8510765514559064,1.8446650478606395,1.8382932109363626,1.8319131580316337,1.82548887922269,1.8190007017202436,1.812450750348566,1.8058683148179366,1.7993132590337262,1.7928749777853388,1.7866646616477815,1.7808004852866994,1.7753885984954187,1.770506643629148,1.7661935282102448,1.7624472156758944,1.7592341853828384,1.7565016949648673,1.7541886361667907,1.7522330664788022,1.7505765353799263,1.7491661851871008,1.7479555448904276,1.7469046037544078,1.7459794890885043,1.7451519295062767,1.7443986147159998,1.7437005247877935,1.7430422772729752,1.7424115227898949,1.741798406263247,1.7411951009319746,1.7405954150990077]"
1.3_0.6_2.8_0.4_0.6_0.7_9,"[2.201752826267084,2.168697126771474,2.136008872724393,2.104018174630805,2.073062747613817,2.043477054006578,2.015596548442843,1.9896775182726885,1.9658502260384914,1.9441164213846005,1.9243786482541456,1.9064734488381219,1.8902420072523527,1.8755467169396858,1.8622659342324337,1.8502901287161921,1.839518118292915,1.8298543127991984,1.8212073518477372,1.8134897086047217,1.8066175920213863,1.8005107146650565,1.7950918560980422,1.79028641844388,1.7860222592804393,1.7822299962447268,1.7788437716913479,1.7758020042042055,1.7730483630753757,1.7705331086185652,1.7682127733789703,1.7660495793066642,1.7640107423366882,1.7620677000130367,1.7601953263203494,1.758371202515913,1.7565749970628546,1.7547879772731605,1.752992649811571,1.7511725173612955]"
1.3_0.6_2.8_0.4_0.6_0.7_10,"[1.9515747590332697,1.937245614776577,1.923799729079932,1.9111978934672684,1.8993829137724103,1.8883024088723281,1.8779137922718612,1.8681824781738379,1.8590783561689612,1.8505715894800754,1.842628627328245,1.835209745312244,1.8282689370227971,1.8217560282015448,1.8156201837639288,1.8098137714695794,1.8042957168325846,1.7990338126984142,1.7940057649590773,1.7891989892862585,1.7846093235769143,1.7802389194182333,1.7760936490939834,1.7721804129989398,1.7685047342531424,1.7650689595054676,1.7618712191581725,1.7589045194291444,1.7561578395870907,1.753617742835607,1.7512689775384132,1.7490951756323807,1.7470795373919004,1.7452054519163986,1.7434569660642527,1.741819079506799,1.74027790162833,1.7388207144042844,1.7374359723943715,1.7361132604571226]"
