SimulationId,cohesion_degree,average_speed,average_direction
2.0_0.2_1.0_0.2_1.0_0.2_1,"[1.1581381053548305,1.0973115256486998,1.0386255677313945,0.9823453072609967,0.9288537923590399,0.8789393771082927]","[2.002829451246601,2.0024899901234106,2.002216775460581,2.0019926662174194,2.0018058794187317,2.0016480677010926]","[2.000313329346983,1.999977766615347,1.9997070630584113,1.9994846225216663,1.9992989915344015,1.999142027986267]"
2.0_0.2_1.0_0.2_1.0_0.2_2,"[1.0434001177719676,1.019529780217639,0.9979944512599991,0.979126418506862,0.9632853758802316,0.9508357373827507,0.9421138530998974]","[2.0028379188386745,2.0024976968364956,2.002223781475688,2.0019990465320365,2.0018117100610135,2.0016534205765066,2.0015181043163333]","[2.0019962949841092,2.001658016098577,2.0013853287479333,2.00116138631006,2.0009745760903135,2.000816650523689,2.000681601773052]"
2.0_0.2_1.0_0.2_1.0_0.2_3,"[2.2370917850778738,2.2212271175466682,2.207357768274542,2.1956069269271925,2.1860901391016663,2.1789092728295496]","[2.0028655829621242,2.0025231485018837,2.002247065079534,2.002020313193197,2.0018311495154846,2.0016712266446137]","[2.001869655505287,2.001528086462305,2.0012526206599914,2.0010263241870345,2.0008375106164067,2.0006778727765964]"
2.0_0.2_1.0_0.2_1.0_0.2_4,"[1.13342574445502,1.0675972744264444,1.0059740887788464,0.9499246027701232,0.9014896341017821,0.8636573902879714]","[2.002832722102145,2.002492866630682,2.002219322030448,2.0019949358190368,2.0018079143506835,2.0016499012185784]","[2.000093903662566,1.9997579620925752,1.9994869669657223,1.99926429596593,1.9990784794131582,1.9989213659060503]"
2.0_0.2_1.0_0.2_1.0_0.2_5,"[1.4376883770375772,1.379723703175084,1.3248569596018949,1.273424069417106,1.2258695265742006,1.1828823692865078,1.145811579791848]","[2.002855924369161,2.0025130807187557,2.0022370245351437,2.002010552773573,2.001821805429273,2.001662361693251,2.00152608984667]","[2.000261456987295,1.9999221333949673,1.9996485489737537,1.9994238437156509,1.999236388496565,1.9990779205289761,1.9989424206084412]"
2.0_0.2_1.0_0.2_1.0_0.2_6,"[1.3184397865498911,1.2718658573353465,1.2310225637432044,1.1968680493412702,1.1704409345623088,1.1527500755807327]","[2.002832981291257,2.002493667276441,2.002220414360433,2.0019961641002006,2.0018091838869525,2.001651155156896]","[2.0002805305385576,1.9999439168994724,1.999672443521097,1.9994494236325255,1.9992633475208255,1.9991060426706493]"
2.0_0.2_1.0_0.2_1.0_0.2_7,"[1.976485514364607,1.9238901737373233,1.8759751582635598,1.8333820287059972,1.796880730167364,1.767377505740992]","[2.0028309706019582,2.002491417783466,2.002218082631604,2.001993843037307,2.001806925907777,2.001648987022832]","[1.999481896207697,1.9991462624318987,1.998875533828271,1.9986530969123328,1.9984674897783539,1.9983105718309027]"
2.0_0.2_1.0_0.2_1.0_0.2_8,"[1.002487896511593,0.9649948433973338,0.9285565031978997,0.8932219082761202,0.8590597657080403,0.8262111630135376]","[2.0028659958371415,2.0025234730865025,2.002247316815206,2.002020505380845,2.0018312927255932,2.001671328528956]","[2.001751365108954,2.001409680210161,2.0011341380842618,2.0009077919640785,2.0007189467565034,2.000559289639684]"
2.0_0.2_1.0_0.2_1.0_0.2_9,"[1.702868362445664,1.650259248234751,1.6021545034293905,1.5592178164617088,1.5224077128377225,1.4933341671810436]","[2.002797039591659,2.002460406437212,2.0021898539837304,2.0019681590105036,2.001783520003431,2.001627599650253]","[1.9994273076356213,1.9990964234051767,1.9988295142853443,1.9986102031569863,1.998427193833356,1.9982724646902503]"
2.0_0.2_1.0_0.2_1.0_0.2_10,"[1.977020006590839,1.9508800899473293,1.9269814343986689,1.9054499956907491,1.8864173242707423,1.8700874324565917]","[2.002830180217863,2.002489808438756,2.00221602702231,2.0019915814162474,2.001804609605555,2.0016467105422135]","[2.0013238950407057,2.0009858981637443,2.0007137023450183,2.0004903432238472,2.0003041412079523,2.000146812883988]"
