v,re,rep_s,rep_ra,att_s,att_ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,1.0,0.2,1.49454794706,1.00063319287,0.999588929557
1.0,0.2,1.0,0.4,1.0,0.2,1.65565718431,1.00303601673,1.00019944975
1.0,0.2,1.0,0.6000000000000001,1.0,0.2,1.82110094324,1.00411734305,1.00062331041
1.0,0.2,1.0,0.8,1.0,0.2,1.98463713978,1.00683554034,1.00096417774
1.0,0.2,1.0,1.0,1.0,0.2,2.15850278054,1.00508139887,1.00113790674
1.0,0.2,1.0,1.2,1.0,0.2,2.32000540338,1.00496169178,1.00150168778
1.0,0.2,1.0,1.4,1.0,0.2,2.47253632139,1.00537335912,1.00181417643
1.0,0.2,1.0,1.5999999999999999,1.0,0.2,2.61730677406,1.0057407521,1.00208875085
1.0,0.2,1.0,1.7999999999999998,1.0,0.2,2.75474346694,1.00606965283,1.00225151761
1.0,0.2,1.0,1.9999999999999998,1.0,0.2,2.88208100804,1.00653541165,1.00266390394
1.0,0.2,1.0,2.1999999999999997,1.0,0.2,3.00361426377,1.00696432006,1.00301477938
1.0,0.2,1.0,2.4,1.0,0.2,3.11922120676,1.00775114259,1.00324863655
1.0,0.2,1.0,2.6,1.0,0.2,3.22805320991,1.00765060092,1.00354037752
1.0,0.2,1.0,2.8000000000000003,1.0,0.2,3.33593492143,1.00546412485,1.00378177625
1.0,0.2,1.0,3.0000000000000004,1.0,0.2,3.43089523171,1.00593598527,1.00428620148
1.0,0.2,1.0,3.2000000000000006,1.0,0.2,3.52525688873,1.00621750293,1.00446330593
1.0,0.2,1.0,3.400000000000001,1.0,0.2,3.61252155255,1.00660791607,1.00487564574
1.0,0.2,1.0,3.600000000000001,1.0,0.2,3.69647221678,1.00691116572,1.00511846484
1.0,0.2,1.0,3.800000000000001,1.0,0.2,3.77246557421,1.0072928532,1.0054943398
