SimulationId,cohesion_degree,average_speed,average_direction
1.0_0.2_1.0_2.8_1,"[1.658133270048112,1.6663878973937454,1.6731951044159281,1.6786638073494806,1.6828896365239923,1.6859523461328854,1.687913873882612,1.6888170158961315,1.6886847339910873,1.6875201554977988,1.685307345281309,1.6837300553918073,1.6847565196263798,1.6849650883478027,1.6845109394575417,1.6827691063188208,1.6802380245555566,1.6767062863093236,1.6723029255406257,1.666769066139429,1.6597785794725453,1.6505716378142186,1.6383411070846414,1.6209099166371235,1.5972012888957985,1.5656778991482745,1.524177922241505]","[0.9072559459796248,0.9069103945930038,0.9066239433878167,0.9063836158035867,0.9061805882177876,0.90600913557052,0.9058659578380669,0.9057497402225895,0.9056608521904709,0.9056011140599708,0.9055735712988625,0.9057025115664964,0.9058265173393018,0.9058854853825075,0.9114676818545155,0.9114704396562399,0.9105588506649078,0.9093470947851151,0.9085990230207073,0.9082253763667509,0.9441389317318544,0.9295954461957163,0.9330500464770101,0.9327878827712778,0.9360982174667702,0.9320968190384511,0.9323395087305306]","[0.9071673082657591,0.9068441433968994,0.9065660667651786,0.90632289462354,0.9061077330062433,0.9059161160015129,0.9057454781298817,0.9055948283173174,0.9054645420743673,0.9053562096773717,0.9052724870843444,0.905396468510064,0.9054507728672411,0.9054239493721065,0.910925664214603,0.9108296678597344,0.909803960722901,0.9084746391624082,0.9075819349278296,0.9070686391779715,0.9427409028385442,0.9279947514175992,0.9311563937002857,0.9304371065335109,0.9330752474093671,0.9280655445947895,0.9266118183921785]"
1.0_0.2_1.0_2.8_2,"[1.7999778236703263,1.8350336921589125,1.8676936411627216,1.897838629381378,1.9254326262677435,1.9504964948649008,1.9730862874047108,1.9932785636138046,2.0111604404399777,2.032083627297853,2.0515331987665038,2.0693652606765633,2.0859120945211593,2.1010508694334247,2.114703411262884,2.1273509427565536,2.1388032125737073,2.1489902610835316,2.160890397119868,2.1743632317355033,2.1861243373587254,2.1950946820996493,2.2006656677900542]","[0.9913381179080218,0.9910537624343029,0.9908273702802717,0.9906055864942415,0.9903833664471502,0.9901576586564838,0.9899261951030711,0.9896870169094125,0.9894382082359182,0.9941347739842159,0.9929325914397549,0.9955587267431616,0.9937289993767786,0.9947861228477974,0.9943673302428673,0.9942207831313441,0.9950235481523585,0.9984111402123099,0.9947206343106746,0.9940746226525997,0.9926034423184944,0.987409873846425,0.9829856037283669]","[0.9909352247532155,0.9907607809981172,0.9906205572815749,0.9904646637575636,0.9902909008510016,0.9900985684333113,0.9898873491512783,0.9896568867454613,0.9894065541745977,0.994096216479598,0.9929087825678163,0.9955085417471168,0.9936851293684492,0.9947240044172342,0.9942750789059273,0.994081085548265,0.9948354748777765,0.9982021504509242,0.9945330199737863,0.9937860406926601,0.9921137739602481,0.9866213504688238,0.9815311594724617]"
1.0_0.2_1.0_2.8_3,"[2.0062473531159366,2.026439341061158,2.043983819037091,2.059597122475205,2.073069007294222,2.0847765639172704,2.0951912344466943,2.1040310826381705,2.1117477710311787,2.118315524542801,2.1238882754231927,2.128686800137931,2.1325521087190067,2.135550170983661,2.1381205510253993,2.1400990565632645,2.1415558682021105,2.1425548788508846,2.1433709416676483,2.143730594533595,2.144382910723582,2.1448621497951335,2.145710028404305]","[0.9979758778477512,0.9998090980506542,0.9964458124364601,0.9942056104732128,0.9903271652519806,0.991559876679293,0.9886408669385773,0.9867803368223311,0.9936100644620074,0.9875542729999226,0.9864841010082559,0.9888554162740639,0.9902832912829065,0.9914136306886256,0.9933287466645141,0.9880857194593418,0.9947108547662749,0.9893817627579027,0.9950263500449218,0.9935173508741209,0.9959351191297183,0.9957832471956954,0.9970523089103096]","[0.9969953318352547,0.998918631020314,0.9956049796127963,0.9934202959936832,0.9895967246019435,0.9908627992833665,0.9879800820136283,0.9861391899993756,0.9929274834623355,0.9868871513559485,0.9857887230562015,0.9881019313182487,0.9894608047155696,0.9905061856473063,0.9923146401442227,0.9869434232604569,0.9934069216460999,0.987856892549413,0.9932510369673361,0.9913791705834848,0.9933303825973392,0.9924908542689259,0.9927242370868335]"
1.0_0.2_1.0_2.8_4,"[1.791946669295526,1.821226930789301,1.8344182072906086,1.8402073217761485,1.8457383434094834,1.8508996212446944,1.855549260633653,1.8595617572117074,1.86282330673231,1.8652273172478615,1.8666703240065972,1.867048153254847,1.8662521446016478,1.8641651986921417,1.860657348891739,1.8555804419837845,1.8487613277795365,1.8399926758568124,1.8290201717284909,1.81552458302777,1.79909769045351,1.7792111420874863]","[0.991546580864139,0.9904065703674609,1.0094983321008353,1.0093475771423883,1.00891588406629,1.0084430479583602,1.0079303000948705,1.0073773835126838,1.00678292907555,1.006143830290029,1.005454791213963,1.0047079073395164,1.0038921777733854,1.002992872241576,1.001990691268505,1.0008606761305587,0.9995708709050434,0.9980808601264535,0.9963405911274178,0.9942904331464693,0.9918638092849869,0.9889888967809535]","[0.9913801893749207,0.9902071639646721,1.008962183854353,1.0088450131222488,1.0084361812497111,1.00797255068184,1.0074577870480783,1.006892567994511,1.006275286249349,1.0056015990333298,1.0048639901862124,1.0040512098315617,1.0031474664709743,1.0021312329122072,1.000973481767323,0.9996350801638973,0.9980629269785471,0.9961841655677698,0.9938973339542188,0.9910581877847356,0.987453860597173,0.9827344575412835]"
1.0_0.2_1.0_2.8_5,"[1.9787984599446071,1.9999173969640016,2.018341547881768,2.0342926175441134,2.0479601864930346,2.05950455842323,2.0690593184047374,2.076733504524047,2.0826133326280236,2.086763424172027,2.0892274791027305,2.090028310387596,2.089167109932898,2.086621736202278,2.082343679469261,2.076253126515241,2.068231120033764,2.0581069866268384,2.045637518212642,2.030470636684973,2.0120771041671803,1.9896087429995086,1.9615630497470096,1.927943662155776]","[0.9939812367517462,0.9935842346627253,0.9932018664907298,0.9928263068591653,0.9924511970770187,0.9920710175463135,0.9916806394992873,0.991274968151627,0.990848622076417,0.9903956072640401,0.9899089468194683,0.9893802208510771,0.988798954568604,0.9881517609406179,0.987421086482303,0.9865833021209691,0.9856056775981306,0.984441371593305,0.9830207149088084,0.9812351617874338,0.9789058394023912,0.9757182470785262,0.9711017096784418,0.9573506242955684]","[0.9938669897191984,0.993475925397207,0.9930909694385264,0.9927061469302121,0.9923163691014844,0.9919169239805552,0.9915031089997882,0.9910699232323673,0.9906117665663295,0.9901221035313063,0.9895930478930303,0.9890148117715724,0.9883749368128664,0.9876571762452502,0.9868398069895736,0.9858929810362382,0.9847743878765941,0.9834217892172218,0.9817393792841288,0.9795709500667092,0.976641873802937,0.9724169821223184,0.9656991063202905,0.9515088069154898]"
1.0_0.2_1.0_2.8_6,"[1.8784792330131004,1.9100795935477848,1.9391098123588175,1.965819880657848,1.9904218344340379,2.013094817786265,2.0339890576227386,2.0532290556903154,2.0709162098329714,2.0871310167736286,2.1019349746338127,2.115372290166404,2.1274715022697746,2.1382471628821715,2.1477017776256093,2.1558283194847423,2.1626138230099077,2.168044905973749,2.1721166637473615,2.1748474457366735,2.176303911206226,2.176643915878345]","[0.9975349602267867,0.9976177515547382,0.997732635733013,0.9978711648549011,0.9980275268384435,0.9981974610130555,0.9983775826579956,0.9985649353423842,0.9987566750129271,0.9989498326888138,0.9991411250537641,0.999326794073694,0.9995024627329634,0.9996629964052838,0.9998023594439318,0.9999134549064401,0.9999879322391234,1.000015943368723,0.9999858219021256,0.9998836522450922,0.9996926802948158,0.9993924487504948]","[0.9974815796144997,0.9975673935991103,0.997676613821996,0.9978026975137899,0.9979412707106814,0.9980891542628986,0.998243764340226,0.9984027129063058,0.9985635153428414,0.9987233527238881,0.9988788563164246,0.9990258911037935,0.9991593176026652,0.9992727083918932,0.9993579872356656,0.9994049422726492,0.9994005353521884,0.9993278761538659,0.9991646268627661,0.9988803853356408,0.9984320532443999,0.9977543628424447]"
1.0_0.2_1.0_2.8_7,"[1.8428642821648569,1.8866205750264393,1.9273098881328976,1.9651320136338142,2.000199240258194,2.0325550395128804,2.055631535010832,2.070289849357133,2.083122358686125,2.0946883885160186,2.105018267857236,2.1139622834548315,2.1220006897576273,2.1285738505427565,2.134214773082139,2.1388990847925546,2.1421935317233896,2.1444658710617723,2.1455883441844676,2.1440264210024806,2.1572744844412286,2.1631257955349534,2.1578315130336287]","[0.9958902453077445,0.9953752345184396,0.9949205671508936,0.9946107463507379,0.9943188644987637,0.9940317882838233,0.9890240515086656,0.9902936870240425,0.9894472835867444,0.9905190946467433,0.9902111185805118,0.9893502662355572,0.9897648022588795,0.9896259577504098,0.9899975115388462,0.9900402171495537,0.9901804556694378,0.9900363141580351,0.9898072492016159,0.9870798492093205,0.9837315774647554,0.9822580614294905,0.9804187466800033]","[0.9951330409864798,0.9946406609048899,0.9942027424969838,0.9939076448455397,0.9936305328232918,0.9933596839834319,0.9887588736366985,0.9899957053751177,0.9891579606997288,0.9901872745764428,0.9898745987262613,0.9889748977864232,0.989374418779493,0.989191811102431,0.9895255716062354,0.9895155387844551,0.9895900144827899,0.9893819283756433,0.9890752280462053,0.9867623726248482,0.9836101870651005,0.9819505358487761,0.9796213751677729]"
1.0_0.2_1.0_2.8_8,"[2.0325496953132083,2.0540660185024175,2.0728883464332126,2.0892299435712984,2.103273218663153,2.11517275440631,2.1250578339146573,2.1330344643417845,2.1391869131373573,2.1435787741285783,2.1462535787381936,2.147234969364859,2.1465264662276837,2.144110901434831,2.1399496949615817,2.133982366566317,2.126127133550549,2.1162843653558516,2.1043496454316664,2.090293364237116,2.0741240214460217,2.0559846351237057,2.0389590659673216,2.0398429684838044]","[0.9916719108383751,0.9913540059072851,0.9910450377136143,0.9907377674097426,0.9904260859537067,0.9901044650615611,0.9897675737555796,0.9894099804386252,0.9890258947638086,0.9886089211903523,0.9881518062509815,0.9876461691547858,0.987082214097992,0.9864484366590852,0.9857313617131982,0.9849153947566065,0.9839829422690015,0.9829150634607778,0.9817232275953809,0.9804668168087635,0.9790381755018276,0.9774346770046363,0.990761775253036,0.9953042198515596]","[0.9916595199738103,0.9913379546771229,0.9910211123207814,0.9907022914633926,0.9903756387190975,0.9900356312467926,0.9896767037026868,0.9892929398985483,0.9888777812870225,0.9884237190654088,0.9879219428825211,0.987361921107272,0.9867308880733936,0.9860132154087874,0.9851896516554127,0.9842364339208326,0.9831243182565128,0.9818176544883972,0.9803037978463259,0.9786079069667512,0.9765754787343551,0.9741381520002782,0.9872612367838566,0.9901303445160307]"
1.0_0.2_1.0_2.8_9,"[1.869002509749711,1.8937008228812227,1.9158450727809198,1.9356070282243607,1.9531322238956437,1.9685413730447179,1.9819319232888672,1.993379440736798,2.0029386286098285,2.010643851295315,2.0165090606613125,2.020527019821261,2.0226676988827603,2.0228756875907816,2.0210664516276475,2.0171213047807655,2.010881215436536,2.002140370570035,1.990642701719866,1.9760906368431996,1.9581906488568552,1.9367958039159978,1.9134826297055754]","[1.0011899218144822,1.0004504993647925,0.9997104938602799,0.9989691263164646,0.9982252786354182,0.9974772066506641,0.9967223632809266,0.9959572533310805,0.9951772744271212,0.9943765127768598,0.9935474674599669,0.9926806773815218,0.9917642241397187,0.9907830863182943,0.9897183351756577,0.9885462083741244,0.9872372202051536,0.9857557479808461,0.9840611078808992,0.9821120715339864,0.9798774367565708,0.9773519115160157,0.9847851325318808]","[1.0010646581702585,1.0003086399027292,0.9995475212639555,0.9987813774935596,0.9980094524122797,0.9972299909798319,0.996440125013728,0.9956357440029419,0.9948113096544546,0.9939595804562127,0.9930712095525174,0.9921341684602027,0.991132930914209,0.990047324697662,0.9888509245105234,0.9875088193405711,0.9859745579606607,0.9841860951100423,0.9820607024257493,0.9794890951816421,0.9763286842083597,0.9723883349820602,0.9789903509689036]"
1.0_0.2_1.0_2.8_10,"[1.9003899853192379,1.9370137748305019,1.9629829754858483,1.987003339226208,2.008944598420211,2.0285999968236728,2.0462131020219276,2.061811612769876,2.075834668240493,2.087958281937121,2.0982457570906754,2.107135984020428,2.1143661302142185,2.119894157757572,2.1238802730779054,2.126188461450613,2.1266995242455087,2.1256644881358016,2.122715781629836,2.1180318640105193,2.111269010253742,2.102820736151574,2.092610786995479]","[0.9817160107853912,0.9929645431824922,0.9885014308611016,0.9872801431823636,0.9875917257589739,0.9871610437036329,0.9862744879654954,0.9853227207513416,0.9859226610935636,0.985694478930304,0.9846615623336019,0.9820137146189687,0.9810083101581386,0.9830909417060475,0.978592726579023,0.9777756331390398,0.9765750670342661,0.9755709601502482,0.9735380843055891,0.9732955188599657,0.9687130105838514,0.9659107711449737,0.9655119819482871]","[0.9811121551303509,0.9928313715853949,0.9883890869310232,0.9871646657198615,0.9874819841130849,0.9870413818094229,0.9861379410865317,0.9851624518357008,0.985729578281465,0.9854575513831587,0.9843790963698299,0.981676864375665,0.9805962735909118,0.9825569920737355,0.9779661198460852,0.9769962754285647,0.9755956530453673,0.9743232520008318,0.9719426143009398,0.9711848126877747,0.9660079106775636,0.9623037140247834,0.9609303858040368]"
